cell_type,gene,log2FoldChange,padj,baseMean
NP_chondrocyte_HAPLN1,ATP5MPL,-13.390452094784123,2.247710232490875e-16,560.3252161466964
NP_chondrocyte_HAPLN1,ZNRD1,-11.188543789287616,6.373388485543887e-16,118.6015016472736
NP_chondrocyte_HAPLN1,NUPR1,-5.634850853934483,1.1279892722465973e-15,2627.6217384731367
NP_chondrocyte_HAPLN1,H2AFJ,-13.725741353494207,2.0220753030992025e-15,655.0120221163431
NP_chondrocyte_HAPLN1,TWISTNB,-10.988193961440306,4.45483077883267e-15,114.38330130989792
NP_chondrocyte_HAPLN1,TSTA3,-10.606509821751876,4.877636564601083e-15,79.54474467011904
NP_degenerative_UPR,LINC01578,-28.454577263537285,1.4028626368413935e-32,1215.3511444781475
NP_degenerative_UPR,PFDN5,-5.198087906824431,1.6913181698810018e-25,5973.502742353236
NP_degenerative_UPR,H3F3B,-17.12660066226409,1.0023787092495489e-21,13592.00951555042
NP_degenerative_UPR,PYURF,-12.596353050800912,1.5496303609383643e-21,714.8874753210636
NP_degenerative_UPR,PTP4A1,-25.131005981291924,8.407290454765622e-21,387.6288536592399
NP_degenerative_UPR,CASC4,-11.85197548461944,1.7542488069000883e-18,371.3853857855167
NP_degenerative_UPR,AL627171.2,-24.6009602903118,4.242196169415531e-18,251.79619805061267
NP_degenerative_UPR,WDR83OS,-9.28776289839018,6.775250081505141e-18,1486.8868429073143
NP_degenerative_UPR,IMPAD1,-11.957244533435931,7.123515508947173e-18,420.26004011695414
NP_degenerative_UPR,PSMA2,-6.001922830223459,8.26384767083012e-18,1032.8223062616828
NP_degenerative_UPR,NUPR1,-5.5354964665047195,8.811284732215069e-18,5465.172737443753
NP_degenerative_UPR,H3F3A,-14.736291432501986,9.306845737115787e-18,3401.663818258226
NP_degenerative_UPR,H2AFZ,-15.089861972777843,1.827478524352318e-17,3785.8052975208575
NP_degenerative_UPR,ZNRD1,-11.417516785000716,2.931315282407034e-17,292.0157826661621
NP_degenerative_UPR,HIST1H1C,-14.412368967548357,7.880189405135342e-16,1620.50877352036
NP_degenerative_UPR,H1FX,-14.64369749901059,9.416766673215985e-16,2075.240292346456
NP_degenerative_UPR,TWISTNB,-11.2450288911802,1.624172830297432e-15,274.40021391802077
NP_degenerative_UPR,H2AFJ,-13.851715769001544,1.8948362225505957e-15,1381.5446284518814
NP_degenerative_UPR,FOPNL,-10.636696546869622,3.6905526156975474e-15,173.13310253555406
NP_degenerative_UPR,ATP5MD,-13.416684135336816,6.414926039214429e-15,1164.2563477436595
NP_metallothionein,PFDN5,-4.838544168715732,6.108503027369694e-24,1564.1591400436032
NP_metallothionein,H3F3B,-14.959295612332348,6.4732071935992366e-18,2672.9251869532154
NP_metallothionein,POLR2J3-1,23.590572707849716,1.9581772474305273e-15,21.066357924594612
NP_metallothionein,H3F3A,-12.892413606632832,4.6458230849727344e-14,799.9889411422452
NP_metallothionein,PYURF,-10.531706702002875,5.570430581949692e-14,150.57095737679617
NP_metallothionein,H2AFZ,-12.899340725475165,3.369526063390116e-13,744.1093863101687
NP_metallothionein,CASC4,-10.076736804252118,4.177276203786292e-13,95.00488939432464
NP_metallothionein,PSMA2,-6.000082452831076,5.128363605436372e-13,216.5940645495795
NP_metallothionein,NUPR1,-5.241602105058238,1.152576035625638e-12,1109.3861340037697
