gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,contrast
HIST2H2BE,140.92622760396213,-10.744574475403002,1.529887191470187,-7.023115518130267,2.1697467124079207e-12,3.1953765496817863e-10,NP_chondrocyte,severe_vs_healthy
C9orf3,526.2565796964892,-25.873894498884106,3.7004113495140345,-6.992167101174322,2.7067221221556248e-12,3.951814298347212e-10,NP_chondrocyte,severe_vs_healthy
AES,414.3943883311692,-25.48450034475864,3.646243021667971,-6.989248986783325,2.7636158395960017e-12,4.0003929794357164e-10,NP_chondrocyte,severe_vs_healthy
APOPT1,174.86231695319293,-24.41870062777162,3.4966111277589333,-6.98353340865279,2.8784695583078e-12,4.1313356304661775e-10,NP_chondrocyte,severe_vs_healthy
KDELC2,181.9873371493312,-24.449025672364247,3.50256403905597,-6.980322243859353,2.945037687848019e-12,4.1913578387726093e-10,NP_chondrocyte,severe_vs_healthy
AARS,214.6635114132977,-11.18950017959626,1.607235066974624,-6.961956225021144,3.3557979163264764e-12,4.7361494592421e-10,NP_chondrocyte,severe_vs_healthy
ADPRHL2,132.51386012813444,-10.15197660624697,1.4618052626768905,-6.944821492608696,3.7893917189628256e-12,5.303895715070613e-10,NP_chondrocyte,severe_vs_healthy
AL592183.1,55.72260030927713,-9.332505121338246,1.3450663543041974,-6.938323222103008,3.967810850291851e-12,5.508102013159245e-10,NP_chondrocyte,severe_vs_healthy
MFSD14C,110.44986382995847,-10.24942427720667,1.4804544406586666,-6.92316088609023,4.416756582623512e-12,6.081478819781445e-10,NP_chondrocyte,severe_vs_healthy
AC007325.4,85.62177477234044,-9.79182479001723,1.4157768578889238,-6.916220402569582,4.63852551513017e-12,6.335328074535852e-10,NP_chondrocyte,severe_vs_healthy
FAM45A,138.45563890865958,-23.821651724952964,3.4493445274075047,-6.906138698431814,4.980230833402562e-12,6.747615151560464e-10,NP_chondrocyte,severe_vs_healthy
C3orf58,123.90619815332246,-23.644413219102013,3.4295731232888844,-6.894272951505855,5.414098176797218e-12,7.277235454145847e-10,NP_chondrocyte,severe_vs_healthy
TMEM173,132.78081471397385,-10.254557104488155,1.492446262664244,-6.870972416911153,6.376572395739426e-12,8.503435440491569e-10,NP_chondrocyte,severe_vs_healthy
AC093323.1,85.68182613079918,-9.664604268611985,1.40851749654118,-6.861543638857754,6.812038754363183e-12,8.997247673077088e-10,NP_chondrocyte,severe_vs_healthy
AL049839.2,183.2696039717809,-24.82585532946982,3.6185681322718297,-6.8606847852505455,6.853123227603593e-12,8.997247673077088e-10,NP_chondrocyte,severe_vs_healthy
CENPBD1,38.89244564147062,-8.51746421994035,1.2432524792787998,-6.850952933455045,7.335965175600004e-12,9.557069708766282e-10,NP_chondrocyte,severe_vs_healthy
CD3EAP,49.78842278924836,-8.51163827916094,1.2452553636212949,-6.835255263955229,8.185913587549152e-12,1.0582949047231483e-9,NP_chondrocyte,severe_vs_healthy
FAM49A,97.5897024578834,-9.878145850914036,1.4560102192922504,-6.784393213747969,1.1657542353356248e-11,1.495698009821526e-9,NP_chondrocyte,severe_vs_healthy
AC104051.2,12.527654050908891,-20.987852927253215,3.0970230348789434,-6.7767829592761135,1.2288127067745384e-11,1.564749774581472e-9,NP_chondrocyte,severe_vs_healthy
ATP6AP1L,39.44385350185852,-8.685403501515177,1.2827913144499292,-6.770706508283107,1.2815501483362416e-11,1.619726366583775e-9,NP_chondrocyte,severe_vs_healthy
HIST1H1E,162.96594422043034,-10.930795824218327,1.6157451566673782,-6.765173195235869,1.3314982075976306e-11,1.6703891588054423e-9,NP_chondrocyte,severe_vs_healthy
C2orf40,41328.42487964537,-30,4.4399293682288015,-6.75686424533545,1.4101019609458044e-11,1.7559916772483927e-9,NP_chondrocyte,severe_vs_healthy
TCTE3,54.29303783738406,-9.075524455915184,1.3438954269083765,-6.753147807633644,1.4467142059760454e-11,1.788434437402212e-9,NP_chondrocyte,severe_vs_healthy
AC005165.1,319.2974072193259,-11.98681508978266,1.7782760184316966,-6.740694338528005,1.5763150882296405e-11,1.934526980743275e-9,NP_chondrocyte,severe_vs_healthy
AC007906.2,195.33905208756417,-11.342641902172184,1.684352878929256,-6.73412444866227,1.6491998004980935e-11,1.9950605586596936e-9,NP_chondrocyte,severe_vs_healthy
PPP5D1,39.94423322303785,-8.474135261754805,1.2582982697570295,-6.734599788801357,1.6438175646886388e-11,1.9950605586596936e-9,NP_chondrocyte,severe_vs_healthy
VARS2,26.07236770405163,-8.096389050539663,1.2030001890255888,-6.730164404294575,1.694714920126191e-11,2.035580984911856e-9,NP_chondrocyte,severe_vs_healthy
CRLS1,275.03646771700215,-4.470746766537208,0.6652045920238606,-6.720859747728326,1.8065542029218017e-11,2.154633942301664e-9,NP_chondrocyte,severe_vs_healthy
CXorf40B,71.10905295215822,-9.50894463120609,1.4191579970505022,-6.700412956815903,2.0783136772053548e-11,2.4614210095909014e-9,NP_chondrocyte,severe_vs_healthy
AC100810.1,316.12950846616485,-11.734242468682083,1.7534760943705343,-6.6919888479543035,2.2015764855674457e-11,2.571441335142776e-9,NP_chondrocyte,severe_vs_healthy
HIST1H2BC,130.72710423047036,-10.564491210617584,1.5786720761658968,-6.69201119733203,2.201240183085753e-11,2.571441335142776e-9,NP_chondrocyte,severe_vs_healthy
H2AFY2,67.10154435645035,-9.504787598952015,1.4272060809935814,-6.6597162985285525,2.7435665829514838e-11,3.1825372362237213e-9,NP_chondrocyte,severe_vs_healthy
TMEM246,84.7471665186977,-9.819467876024,1.480003129968714,-6.634761560424252,3.250275119991483e-11,3.74467070967182e-9,NP_chondrocyte,severe_vs_healthy
PSEN2,29.955504539435353,-3.6184991872307335,0.5457358859558387,-6.630495227362682,3.3456249223990415e-11,3.8284799787669036e-9,NP_chondrocyte,severe_vs_healthy
