ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_HOMOLOGY_DIRECTED_REPAIR,REACTOME_HOMOLOGY_DIRECTED_REPAIR,21/623,117/9144,0.1794871794871795,2.634399308556612,4.810857356249641,3.56996014472146e-5,5.669660387735266e-4,5.379662932765857e-4,H4C3/H2AX/H2BC5/H2BC21/H2BC15/H4C8/H2BC11/H4C16/H2BC12/BLM/H4C1/H4C5/POLH/H4C14/H4C11/H4C15/SPIDR/RAD50/H4C4/POLD3/RAD9A,21,Reactome
REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_RHO_GTPASE_EFFECTORS,35/623,256/9144,0.13671875,2.006671348314607,4.417217338881006,5.538232922572565e-5,8.681359918889722e-4,8.237317046833835e-4,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/SEH1L/NCKAP1/PPP2R5A/NUP160/IQGAP2/H4C4/PAK3/WASF1/MRTFA/DYNC1I1,35,Reactome
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,6/623,12/9144,0.5,7.33868378812199,5.940867402855359,6.326199293997398e-5,9.726452026365561e-4,9.22895373887911e-4,H1-2/H1-0/H1-4/H1-1/H1-3/CASP3,6,Reactome
REACTOME_METALLOPROTEASE_DUBS,REACTOME_METALLOPROTEASE_DUBS,9/623,28/9144,0.32142857142857145,4.717725292364137,5.32717855997989,6.366111931092621e-5,9.726452026365561e-4,9.22895373887911e-4,H2AC6/H2AC20/H2AC8/H2AC25/H2AC19/H2AC11/H2AC12/H2AC21/H2AC15,9,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,36/623,271/9144,0.13284132841328414,1.949761006438315,4.2914775048771485,7.991081134268669e-5,0.0012056543661327856,0.0011439863518531992,H3-3B/H3-3A/POLR1H/H2AJ/POLR1F/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/POLR1G/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/GTF2H4/H4C14/H4C11/H4C15/BCL7A/ACSL1/KMT2A/PHLDA1/H4C4/TASOR/ANGPTL4,36,Reactome
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,24/623,159/9144,0.1509433962264151,2.2154517096217328,4.180423985079848,1.8043018111391397e-4,0.002688632451907335,0.0025511115926177834,PSMA2/H2AC6/H2BC5/H2BC21/H2BC15/H2AC20/H2BC11/H2AC8/H2BC18/H2AC25/H2BC12/H2AC19/H2AC11/H2AC12/H2AC21/H2AC15/TAF9B/USP13/RIPK1/AXIN2/USP49/TGFBR1/BIRC3/ATXN7,24,Reactome
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,6/623,16/9144,0.375,5.504012841091493,4.875452125227765,4.329313823522649e-4,0.006372538762185168,0.006046589781762058,H1-2/H1-0/H1-4/H1-1/H1-3/HMGA1,6,Reactome
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,21/623,145/9144,0.14482758620689656,2.1256877179387836,3.694433923456743,7.859905399177348e-4,0.011430007008201275,0.010845373588211738,H4C3/H2AX/H2BC5/H2BC21/H2BC15/H4C8/H2BC11/H4C16/H2BC12/BLM/H4C1/H4C5/POLH/H4C14/H4C11/H4C15/SPIDR/RAD50/H4C4/POLD3/RAD9A,21,Reactome
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,25/623,186/9144,0.13440860215053763,1.972764459172578,3.6241130663921988,8.079423269271127e-4,0.011609361769059821,0.011015554532540084,CCN1/TNFAIP6/EGR2/DNAJB4/ATP2B1/VEGFA/RCAN1/CCRL2/F2RL1/CCND1/PHLDA1/PLK2/INHBA/TNF/EGR3/DUSP5/KDM6B/TRIB1/PLAUR/SDC4/BIRC3/CD83/EFNA1/SIK1/CCL5,25,Hallmarks
REACTOME_M_PHASE,REACTOME_M_PHASE,39/623,344/9144,0.11337209302325581,1.664003882190451,3.3943107870366935,0.0010974667837420867,0.01558402832913763,0.014786920875682855,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/CEP43/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/SEH1L/LBR/PPP2R5A/SET/NUP160/H4C4/NUP42/CHMP4B/PRKAR2B/OFD1/ANAPC2/DYNC1I1,39,Reactome
REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,20/623,140/9144,0.14285714285714285,2.096766796606283,3.535930086600151,0.001234747525368654,0.01732953794325541,0.01644314941984205,DARS1/EPRS1/LARS1/RARS1/IARS1/KARS1/IRF4/MARS1/GMPR/ATP6V0C/PXDN/BIRC7/CDH2/ZEB1/MLPH/CCND1/BCL7A/MET/USF1/CDC25B,20,Reactome
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,12/623,65/9144,0.18461538461538463,2.709667860229658,3.7401801274588475,0.0012845732478286704,0.01782160816240466,0.016910050739716798,H4C3/H4C8/H4C16/H4C1/H4C5/H4C14/H4C11/H4C15/SEH1L/NUP160/H4C4/NUP42,12,Reactome
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,19/623,131/9144,0.1450381679389313,2.1287785034246993,3.518461416669854,0.0013499779361814317,0.018516174647397594,0.017569090844083705,PSMA2/H4C3/H2AX/H2BC5/H2BC21/H2BC15/H4C8/H2BC11/H4C16/H2BC12/BLM/H4C1/H4C5/H4C14/H4C11/H4C15/RAD50/H4C4/RAD9A,19,Reactome
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,24/623,186/9144,0.12903225806451613,1.8938538808056748,3.3301252922301874,0.0018010162337274446,0.024425017911337367,0.02317570268829639,CCN1/CCN2/SDC3/PGK1/PDK3/AKAP12/CCN5/FAM162A/RRAGD/VEGFA/ENO1/NEDD4L/SRPX/UGP2/LDHA/P4HA2/CA12/PLAUR/GALK1/JMJD6/SDC4/PGAM2/EFNA1/ANGPTL4,24,Hallmarks
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,30/623,252/9144,0.11904761904761904,1.747305663838569,3.2526843320933136,0.0018966818711692152,0.025436611316680475,0.024135554103299487,COL13A1/ADAMTS5/CAPN8/MFAP3/SDC3/SPOCK3/LOXL3/EFEMP1/COL8A2/ITGA11/CASP3/PXDN/GDF5/DTNB/SGCA/ICAM4/COMP/LAMA3/P4HA2/P4HA3/CAPN3/FN1/HTRA1/LAMC2/FBLN2/SDC4/MMP25/SH3PXD2A/ADAMTS2/ICAM5,30,Reactome
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,24/623,189/9144,0.12698412698412698,1.8637927080944736,3.2445221328039486,0.0022369777264828103,0.029670682591920353,0.028153056870020798,CCN1/CCN2/FSTL3/IL15/COL8A2/IL32/VEGFA/CDH2/INHBA/TPM1/COMP/LAMA3/FN1/LRP1/HTRA1/PLAUR/LAMC2/FBLN2/SDC4/CRLF1/TFPI2/GAS1/FZD8/CALU,24,Hallmarks
REACTOME_CELL_CYCLE_MITOTIC,REACTOME_CELL_CYCLE_MITOTIC,49/623,482/9144,0.1016597510373444,1.4920975336845541,3.0012952327986917,0.0028782834924339605,0.037761827993128154,0.035830348281100106,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/CEP43/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/SEH1L/LBR/PPP2R5A/CCND1/SET/PHLDA1/NUP160/LIN37/H4C4/NUP42/CHMP4B/E2F5/PRKAR2B/OFD1/OBI1/ANAPC2/JAK2/AURKA/RRM2/POLD3/DYNC1I1/CDC25B,49,Reactome
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,4/623,10/9144,0.4,5.870947030497593,4.167024018865089,0.003216958713503671,0.04175128136773044,0.0396157451080022,LARS1/IARS1/VARS2/VARS1,4,KEGG
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,21/623,164/9144,0.12804878048780488,1.8794190189092903,3.072718038608019,0.0037151284293255224,0.04770382993825432,0.045263826776104917,NGF/ITGBL1/APOD/SERPINA3/GPRC5B/AKAP12/ZNF639/RBP4/BTBD3/HDAC9/F2RL1/INHBA/KCNN4/RGS16/TRIB1/PLAUR/BIRC3/NAP1L2/MAFB/ANGPTL4/ANKH,21,Hallmarks
