category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,2/158,73/5698,0.0273972602739726,0.9880353736778221,-0.01737385036788857,0.6061021461341067,0.9889765024379151,0.9889765024379151,113/91860,2
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,7/158,267/5698,0.026217228464419477,0.945479542976343,-0.15408912457776794,0.6159783488475687,0.9889765024379151,0.9889765024379151,6696/527/8326/3688/84612/3918/595,7
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,1/158,34/5698,0.029411764705882353,1.0606850335070737,0.05993164565484387,0.6166949582079824,0.9889765024379151,0.9889765024379151,2180,1
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,2/158,76/5698,0.02631578947368421,0.9490339773484344,-0.07553337480479379,0.6281546418034919,0.9889765024379151,0.9889765024379151,5336/27,2
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,1/158,36/5698,0.027777777777777776,1.0017580872011251,0.0017869133810109134,0.6377834782804312,0.9889765024379151,0.9889765024379151,283208,1
Organismal Systems,Endocrine system,hsa04914,Progesterone-mediated oocyte maturation,2/158,78/5698,0.02564102564102564,0.9246997728010385,-0.11307645923910387,0.6423205220067607,0.9889765024379151,0.9889765024379151,113/3479,2
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,4/158,158/5698,0.02531645569620253,0.9129947123858355,-0.18729064226834968,0.6440530555967828,0.9889765024379151,0.9889765024379151,440738/203228/58528/79065,4
Human Diseases,Neurodegenerative disease,hsa05017,Spinocerebellar ataxia,3/158,119/5698,0.025210084033613446,0.9091586001489204,-0.16911256972149502,0.6469262829808486,0.9889765024379151,0.9889765024379151,5683/6712/10939,3
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,1/158,37/5698,0.02702702702702703,0.9746835443037974,-0.026088791372564875,0.6478912512284518,0.9889765024379151,0.9889765024379151,595,1
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,1/158,37/5698,0.02702702702702703,0.9746835443037974,-0.026088791372564875,0.6478912512284518,0.9889765024379151,0.9889765024379151,7097,1
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,6/158,238/5698,0.025210084033613446,0.9091586001489204,-0.24175348647305675,0.6532852685893078,0.9889765024379151,0.9889765024379151,1942/5801/3305/3479/2255/2246,6
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,2/158,80/5698,0.025,0.9015822784810128,-0.14970082829878265,0.6560609914588769,0.9889765024379151,0.9889765024379151,6696/7097,2
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,2/158,80/5698,0.025,0.9015822784810128,-0.14970082829878265,0.6560609914588769,0.9889765024379151,0.9889765024379151,5336/3688,2
Metabolism,Glycan biosynthesis and metabolism,hsa00513,Various types of N-glycan biosynthesis,1/158,38/5698,0.02631578947368421,0.9490339773484344,-0.0532305675223404,0.6577186990832307,0.9889765024379151,0.9889765024379151,7991,1
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,1/158,39/5698,0.02564102564102564,0.9246997728010385,-0.07968113542036216,0.6672735481194234,0.9889765024379151,0.9889765024379151,113,1
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,2/158,82/5698,0.024390243902439025,0.879592466810744,-0.18545724607385722,0.6693799019700175,0.9889765024379151,0.9889765024379151,5336/29775,2
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,3/158,124/5698,0.024193548387096774,0.8724989791751735,-0.2424028899112594,0.6744280011241075,0.9889765024379151,0.9889765024379151,5336/2790/113,3
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,2/158,84/5698,0.023809523809523808,0.8586497890295358,-0.22039242867221367,0.6822819541670972,0.9889765024379151,0.9889765024379151,54922/889,2
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,1/158,41/5698,0.024390243902439025,0.879592466810744,-0.13066199017411667,0.6855953024813874,0.9889765024379151,0.9889765024379151,2730,1
Organismal Systems,Endocrine system,hsa04929,GnRH secretion,1/158,41/5698,0.024390243902439025,0.879592466810744,-0.13066199017411667,0.6855953024813874,0.9889765024379151,0.9889765024379151,6696,1
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,4/158,168/5698,0.023809523809523808,0.8586497890295358,-0.3140402446920325,0.6913993986601907,0.9889765024379151,0.9889765024379151,7097/3305/9619/91860,4
Organismal Systems,Nervous system,hsa04730,Long-term depression,1/158,42/5698,0.023809523809523808,0.8586497890295358,-0.15526128516018575,0.6943766251273026,0.9889765024379151,0.9889765024379151,3479,1
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,2/158,86/5698,0.023255813953488372,0.838681189284663,-0.25454945814503654,0.6947725943076737,0.9889765024379151,0.9889765024379151,5336/91860,2
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,3/158,129/5698,0.023255813953488372,0.838681189284663,-0.31295942030226714,0.700336752731845,0.9889765024379151,0.9889765024379151,527/7097/91860,3
Genetic Information Processing,"Folding, sorting and degradation",hsa03050,Proteasome,1/158,43/5698,0.023255813953488372,0.838681189284663,-0.17930801616457967,0.7029141946516813,0.9889765024379151,0.9889765024379151,5683,1
Metabolism,Glycan biosynthesis and metabolism,hsa00514,Other types of O-glycan biosynthesis,1/158,44/5698,0.022727272727272728,0.819620253164557,-0.2028303686792454,0.7112147352785663,0.9889765024379151,0.9889765024379151,11226,1
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,4/158,173/5698,0.023121387283236993,0.8338333211385087,-0.37479830748106574,0.7133515217574129,0.9889765024379151,0.9889765024379151,3688/623/2255/2246,4
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,2/158,90/5698,0.022222222222222223,0.8014064697609001,-0.32068534906853585,0.7185445922507829,0.9889765024379151,0.9889765024379151,5336/595,2
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,2/158,91/5698,0.02197802197802198,0.7925998052580332,-0.33679167574546215,0.724240650250967,0.9889765024379151,0.9889765024379151,3688/22829,2
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,2/158,91/5698,0.02197802197802198,0.7925998052580332,-0.33679167574546215,0.724240650250967,0.9889765024379151,0.9889765024379151,3479/595,2
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,2/158,92/5698,0.021739130434782608,0.7839845899834892,-0.3527352575171432,0.7298397591158168,0.9889765024379151,0.9889765024379151,4831/113,2
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",2/158,92/5698,0.021739130434782608,0.7839845899834892,-0.3527352575171432,0.7298397591158168,0.9889765024379151,0.9889765024379151,113/65266,2
Environmental Information Processing,Signal transduction,hsa04340,Hedgehog signaling pathway,1/158,48/5698,0.020833333333333332,0.7513185654008439,-0.2921706116194379,0.7421747459244754,0.9889765024379151,0.9889765024379151,595,1
Genetic Information Processing,Replication and repair,hsa03460,Fanconi anemia pathway,1/158,49/5698,0.02040816326530612,0.7359855334538878,-0.3134272469336216,0.7493847264809237,0.9889765024379151,0.9889765024379151,5429,1
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,1/158,49/5698,0.02040816326530612,0.7359855334538878,-0.3134272469336216,0.7493847264809237,0.9889765024379151,0.9889765024379151,84679,1
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,1/158,49/5698,0.02040816326530612,0.7359855334538878,-0.3134272469336216,0.7493847264809237,0.9889765024379151,0.9889765024379151,113,1
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,2/158,96/5698,0.020833333333333332,0.7513185654008439,-0.41495805483990766,0.7512861643761591,0.9889765024379151,0.9889765024379151,5771/595,2
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,1/158,50/5698,0.02,0.7212658227848102,-0.3342909753236295,0.7563943234389717,0.9889765024379151,0.9889765024379151,2180,1
Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,1/158,50/5698,0.02,0.7212658227848102,-0.3342909753236295,0.7563943234389717,0.9889765024379151,0.9889765024379151,5336,1
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,1/158,50/5698,0.02,0.7212658227848102,-0.3342909753236295,0.7563943234389717,0.9889765024379151,0.9889765024379151,5336,1
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,2/158,97/5698,0.020618556701030927,0.7435730131802166,-0.4301437141682822,0.7564152932334364,0.9889765024379151,0.9889765024379151,623/5443,2
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,2/158,98/5698,0.02040816326530612,0.7359855334538878,-0.4451880719711453,0.7614535050536912,0.9889765024379151,0.9889765024379151,2790/113,2
Metabolism,Global and overview maps,hsa01212,Fatty acid metabolism,1/158,51/5698,0.0196078431372549,0.7071233556713824,-0.35477883635844265,0.7632090714730798,0.9889765024379151,0.9889765024379151,2180,1
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,1/158,51/5698,0.0196078431372549,0.7071233556713824,-0.35477883635844265,0.7632090714730798,0.9889765024379151,0.9889765024379151,5664,1
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,1/158,51/5698,0.0196078431372549,0.7071233556713824,-0.35477883635844265,0.7632090714730798,0.9889765024379151,0.9889765024379151,8326,1
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,4/158,186/5698,0.021505376344086023,0.7755546481557098,-0.5255442082317704,0.765065816672206,0.9889765024379151,0.9889765024379151,2790/113/91860/595,4
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,2/158,99/5698,0.020202020202020204,0.7285513361462729,-0.46009428913539535,0.7664018601064301,0.9889765024379151,0.9889765024379151,440738/79065,2
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,1/158,52/5698,0.019230769230769232,0.693524829600779,-0.37490678556515034,0.7698343533408422,0.9889765024379151,0.9889765024379151,2790,1
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,1/158,53/5698,0.018867924528301886,0.680439455457368,-0.39468978365804347,0.7762754040266634,0.9889765024379151,0.9889765024379151,3305,1
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,1/158,53/5698,0.018867924528301886,0.680439455457368,-0.39468978365804347,0.7762754040266634,0.9889765024379151,0.9889765024379151,113,1
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,1/158,53/5698,0.018867924528301886,0.680439455457368,-0.39468978365804347,0.7762754040266634,0.9889765024379151,0.9889765024379151,595,1
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,1/158,55/5698,0.01818181818181818,0.6556962025316455,-0.43327626927937296,0.7886250370030784,0.9889765024379151,0.9889765024379151,5336,1
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,1/158,55/5698,0.01818181818181818,0.6556962025316455,-0.43327626927937296,0.7886250370030784,0.9889765024379151,0.9889765024379151,1296,1
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,2/158,104/5698,0.019230769230769232,0.693524829600779,-0.5326568355378899,0.7898336135353776,0.9889765024379151,0.9889765024379151,2790/113,2
Metabolism,Amino acid metabolism,hsa00310,Lysine degradation,1/158,57/5698,0.017543859649122806,0.6326893182322896,-0.4706409446405199,0.8002970452971219,0.9889765024379151,0.9889765024379151,4297,1
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,2/158,107/5698,0.018691588785046728,0.674080208210103,-0.5747177994398915,0.8028842227848768,0.9889765024379151,0.9889765024379151,79651/83786,2
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,2/158,107/5698,0.018691588785046728,0.674080208210103,-0.5747177994398915,0.8028842227848768,0.9889765024379151,0.9889765024379151,5571/595,2
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,1/158,58/5698,0.017241379310344827,0.6217808817110432,-0.48889398437178816,0.8058905689353164,0.9889765024379151,0.9889765024379151,595,1
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,1/158,58/5698,0.017241379310344827,0.6217808817110432,-0.48889398437178816,0.8058905689353164,0.9889765024379151,0.9889765024379151,595,1
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,1/158,58/5698,0.017241379310344827,0.6217808817110432,-0.48889398437178816,0.8058905689353164,0.9889765024379151,0.9889765024379151,57103,1
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,2/158,109/5698,0.01834862385321101,0.6617117640227617,-0.6021848988563865,0.8111829739097506,0.9889765024379151,0.9889765024379151,113/91860,2
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,2/158,109/5698,0.01834862385321101,0.6617117640227617,-0.6021848988563865,0.8111829739097506,0.9889765024379151,0.9889765024379151,8326/3479,2
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,4/158,208/5698,0.019230769230769232,0.693524829600779,-0.760392038916506,0.8357750692994338,0.9934031743363866,0.9934031743363867,440738/5336/3688/58528,4
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,1/158,64/5698,0.015625,0.5634889240506329,-0.5930258223078775,0.8363285658164787,0.9934031743363866,0.9934031743363867,113,1
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,3/158,164/5698,0.018292682926829267,0.659694350108058,-0.7467380424434833,0.8396198412844702,0.9934031743363866,0.9934031743363867,5336/7097/595,3
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,2/158,117/5698,0.017094017094017096,0.6164665152006925,-0.7078430576045874,0.8413580264303158,0.9934031743363866,0.9934031743363867,5571/91860,2
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,8/158,382/5698,0.020942408376963352,0.7552521704552986,-0.8362859784636187,0.8413974622344857,0.9934031743363866,0.9934031743363867,5683/5664/440738/6712/8326/203228/1768/91860,8
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,6/158,302/5698,0.019867549668874173,0.7164892279319306,-0.8549364558788761,0.8515851395817997,0.9934031743363866,0.9934031743363867,5683/144983/81929/440738/203228/1768,6
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,2/158,121/5698,0.01652892561983471,0.5960874568469505,-0.7583618437539066,0.8547571363290793,0.9934031743363866,0.9934031743363867,8106/3337,2
Human Diseases,Infectious disease: bacterial,hsa05100,Bacterial invasion of epithelial cells,1/158,69/5698,0.014492753623188406,0.5226563933223262,-0.6736538591754636,0.8580342377355353,0.9934031743363866,0.9934031743363867,3688,1
Cellular Processes,Transport and catabolism,hsa04146,Peroxisome,1/158,72/5698,0.013888888888888888,0.5008790436005626,-0.71972893023598,0.8696583151482464,0.9934031743363866,0.9934031743363867,2180,1
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,4/158,224/5698,0.017857142857142856,0.6439873417721519,-0.9179812765981624,0.875330072105098,0.9934031743363866,0.9934031743363867,23457/527/58528/3423,4
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,1/158,74/5698,0.013513513513513514,0.4873417721518987,-0.7495798554777421,0.8768771511553423,0.9934031743363866,0.9934031743363867,595,1
Human Diseases,Cancer: overview,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/158,74/5698,0.013513513513513514,0.4873417721518987,-0.7495798554777421,0.8768771511553423,0.9934031743363866,0.9934031743363867,7097,1
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,1/158,75/5698,0.013333333333333334,0.48084388185654015,-0.7642603647053302,0.8803361501093707,0.9934031743363866,0.9934031743363867,595,1
