ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,48,-0.8718751781632657,-1.667872101741224,2.1156689386553313e-4,0.0044275180879859745,0.004162502715670202,210,"tags=21%, list=2%, signal=21%",KMT5A/H4C14/H3C6/H3C1/H4C1/H4C5/H4C16/H3C10/H4C8/H4C3,Reactome
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,65,-0.852391517874564,-1.6611891213969823,8.634295038968846e-5,0.001875108224500593,0.0017628709632691111,210,"tags=22%, list=2%, signal=21%",RAD50/BLM/SFN/H4C14/H4C1/H4C5/H4C16/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H4C3,Reactome
REACTOME_SIGNALING_BY_WNT,REACTOME_SIGNALING_BY_WNT,226,-0.8172608368591676,-1.6512745817978953,3.6573445778860677e-10,2.104801804573432e-8,1.9788159084562515e-8,333,"tags=12%, list=3%, signal=12%",TLE5/GNG5/GNG10/ROR2/H4C14/H3C6/H3C1/H4C1/H2AC19/SMURF1/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,247,-0.8159184935908251,-1.6499182767649283,6.013508067127846e-11,4.325967365790094e-9,4.067030455925938e-9,301,"tags=11%, list=2%, signal=10%",ACSL1/H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/POLR1G/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/POLR1F/POLR1H/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_NUCLEOTIDE_BIOSYNTHESIS,REACTOME_NUCLEOTIDE_BIOSYNTHESIS,13,-0.9596555324106506,-1.6384784763495395,6.592652622150401e-4,0.011856473700148612,0.011146787657188507,77,"tags=23%, list=1%, signal=23%",PPAT/ADSS1/ADSS2,Reactome
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,16,-0.9497992618703408,-1.6367863758947871,4.3686702849468314e-4,0.008522609318599666,0.00801247645481774,219,"tags=38%, list=2%, signal=37%",HMGA1/H1-3/H1-1/H1-4/H1-0/H1-2,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM,REACTOME_SELENOAMINO_ACID_METABOLISM,110,-0.823192770833132,-1.6361253329385779,1.4365213494445603e-5,3.381580201601733e-4,3.1791709243647007e-4,101,"tags=8%, list=1%, signal=8%",CTH/MARS1/KARS1/IARS1/RARS1/LARS1/DARS1/EPRS1/SARS1,Reactome
REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_RHO_GTPASE_EFFECTORS,223,-0.8080173063836241,-1.6336990269251885,1.1853770959747412e-8,4.872746562381883e-7,4.581081408503887e-7,210,"tags=10%, list=2%, signal=10%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_CHROMATIN_ORGANIZATION,REACTOME_CHROMATIN_ORGANIZATION,228,-0.8003326950420493,-1.6161489679753562,1.3944344007451398e-8,5.534462052612607e-7,5.2031889799129e-7,226,"tags=11%, list=2%, signal=11%",H2AC12/H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H2AC11/H4C16/H3C10/H2BC18/H2AC25/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,117,-0.8091730788341769,-1.6088048232942103,5.675827690953262e-5,0.001306575534457441,0.0012283686034315691,210,"tags=18%, list=2%, signal=18%",WEE1/CCNA1/YWHAH/PSMD12/CDC6/RAD50/PSMA6/BLM/SFN/H4C14/H4C1/H4C5/H4C16/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H4C3/PSMA2,Reactome
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS,REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS,10,-0.9654991110818911,-1.6012154410165251,0.0010377694003607637,0.018098069391139983,0.01701478378900901,77,"tags=30%, list=1%, signal=30%",PPAT/ADSS1/ADSS2,Reactome
REACTOME_HOMOLOGY_DIRECTED_REPAIR,REACTOME_HOMOLOGY_DIRECTED_REPAIR,99,-0.8057082116447859,-1.5965265428109403,1.641343715407262e-4,0.0034984937341365893,0.0032890864316543183,210,"tags=11%, list=2%, signal=11%",H4C14/H4C1/H4C5/H4C16/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H4C3,Reactome
REACTOME_UCH_PROTEINASES,REACTOME_UCH_PROTEINASES,77,-0.8052002642068492,-1.5800931750733047,7.876478760289717e-4,0.013947426235528408,0.013112583264093652,353,"tags=14%, list=3%, signal=14%",PSMA6/ASXL1/INO80C/H2AC12/H2AC19/H2AC11/H2AC25/H2AC20/H2AC8/H2AC6/PSMA2,Reactome
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,206,-0.7764227252917952,-1.5678805116147285,1.6080644011293252e-6,4.206550285681485e-5,3.9547612544520246e-5,341,"tags=14%, list=3%, signal=13%",AREG/GNG5/CRABP2/GNG10/H4C14/H3C6/H3C1/APOD/H4C1/H2AC19/H4C5/FABP5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_M_PHASE,REACTOME_M_PHASE,316,-0.7709886629376025,-1.5588858915187551,3.0245376934218078e-9,1.513583863099348e-7,1.4229861550744249e-7,603,"tags=11%, list=5%, signal=11%",LEMD2/PSMA6/RANGAP1/RAB1A/LBR/KMT5A/NUP42/CEP63/GORASP2/SET/CHMP4B/H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/CEP43/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,150,-0.7680257311629667,-1.5495329602689596,2.6954399307941164e-4,0.005540091714900049,0.005208481670782616,226,"tags=9%, list=2%, signal=9%",H2AC12/H2AC19/H2AC11/H2BC18/H2AC25/H2AC20/H2AC8/H2BC11/H2BC15/H2BC5/H2BC21/H2AC6/PSMA2,Reactome
REACTOME_MITOCHONDRIAL_BIOGENESIS,REACTOME_MITOCHONDRIAL_BIOGENESIS,85,-0.7828300979591599,-1.548251438327402,0.002600683087131632,0.04276266047555012,0.04020304080558373,1130,"tags=13%, list=9%, signal=12%",MEF2D/SMARCD3/PRKAG2/NR1D1/GABPB1/DMAC2L/MICOS10/MICOS13/PRKAG1/ATP5MJ/ATP5MK,Reactome
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,127,-0.7765315266382526,-1.5450231078158967,3.0518734764360374e-4,0.006162642756803296,0.005793769037444592,210,"tags=9%, list=2%, signal=9%",H4C14/H4C1/H4C5/H4C16/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H4C3,Reactome
REACTOME_DNA_REPAIR,REACTOME_DNA_REPAIR,275,-0.7402304507364043,-1.4962928035272034,1.4395953942526927e-5,3.381580201601733e-4,3.1791709243647007e-4,210,"tags=7%, list=2%, signal=7%",INO80C/H4C14/H4C1/H2AC19/H4C5/H4C16/H2AC20/H2AC8/ADPRS/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ,Reactome
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,156,0.4750085166528055,1.548409260965666,0.001527435530216427,0.02598176374458596,0.02442658843974061,854,"tags=16%, list=7%, signal=15%",RGS16/PTGER2/MUC1/LRIG1/TNFSF10/POU2F1/IGF1R/AHNAK/CYFIP1/PHLDA1/PRKCH/IFITM3/NCOA3/MYO1C/CCND2/NT5E/TTC39B/NFKBIZ/IKZF2/CD83/ECM1/CTSZ/LIF/CASP3/PLAGL1,Hallmarks
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,116,0.518091284031991,1.6659796377885314,0.0015349782229642445,0.02598176374458596,0.02442658843974061,205,"tags=8%, list=2%, signal=8%",BDKRB1/RGS16/PTGER2/ICAM4/TNFSF10/OSMR/NFKBIA/ICAM1/BST2,Hallmarks
REACTOME_O_LINKED_GLYCOSYLATION,REACTOME_O_LINKED_GLYCOSYLATION,64,0.6299876432168364,1.8212532541960795,6.480087187173072e-4,0.011839016432438421,0.011130375318987333,678,"tags=28%, list=6%, signal=27%",POMK/MUC1/ADAMTS5/GALNT10/FUT10/THBS1/GALNT16/B3GNT9/THBS2/C1GALT1/GALNT18/ADAMTS6/FUT11/GALNT7/ADAMTS2/SPON1/C1GALT1C1/SBSPON,Reactome
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,12,0.8844589214285605,1.828882422761576,0.0023007955817544888,0.038379937892745165,0.03608265229662264,387,"tags=33%, list=3%, signal=32%",LOXL3/PXDN/LOX/LOXL4,Reactome
