ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,24/349,103/7889,0.23300970873786409,5.267087656828108,9.377854033153978,1.0542971655123254e-11,2.0375906443676982e-10,1.8685180699198032e-10,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14/POU2F1/ESR1,24,Reactome
REACTOME_CELLULAR_SENESCENCE,REACTOME_CELLULAR_SENESCENCE,28/349,144/7889,0.19444444444444445,4.3953358802929,8.846342900492214,2.065864374874587e-11,3.912747126012468e-10,3.5880802300453355e-10,H3-3B/H3-3A/H2AJ/H1-2/H2AZ2/H1-0/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H1-4/H2AC8/H2AC20/H1-1/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H1-3/H3C6/H4C14/HMGA1,28,Reactome
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS,22/349,89/7889,0.24719101123595505,5.587650107852291,9.363721345955755,2.2379882368962178e-11,4.155636981060232e-10,3.810815883259814e-10,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_BASE_EXCISION_REPAIR,REACTOME_BASE_EXCISION_REPAIR,18/349,60/7889,0.3,6.781375358166189,9.670838643437552,4.611590391064085e-11,8.398415577572476e-10,7.701542657141437e-10,H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/ADPRS/H2AC8/H2AC20/H4C16/H4C5/H2AC19/H4C1/H4C14,18,Reactome
REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_DNA_REPLICATION_PRE_INITIATION,23/349,102/7889,0.22549019607843138,5.097112197314456,8.959903806266768,5.909257112224825e-11,1.0558616009956434e-9,9.6824967578659e-10,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,23,Reactome
REACTOME_TELOMERE_MAINTENANCE,REACTOME_TELOMERE_MAINTENANCE,20/349,77/7889,0.2597402597402597,5.871320656420942,9.241052868947452,7.033770197445956e-11,1.2335148846261706e-9,1.1311618738582677e-9,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H4C16/H4C5/H2AC19/H4C1/H4C14/CHTF8,20,Reactome
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,33/349,206/7889,0.16019417475728157,3.621122764069325,8.200985562399785,7.770009692812815e-11,1.3378543961988611e-9,1.2268436357072864e-9,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/FABP5/H4C5/H2AC19/H4C1/APOD/H3C1/H3C6/H4C14/PDK3/GNG10/CRABP2/GNG5/PDPK1/RARB/AREG/POU2F1/ESR1,33,Reactome
REACTOME_HCMV_EARLY_EVENTS,REACTOME_HCMV_EARLY_EVENTS,21/349,86/7889,0.2441860465116279,5.519724128739921,9.066524535929515,8.301010472192298e-11,1.4037601637796618e-9,1.287280759315535e-9,H4C3/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H2AC25/H2BC18/H3C10/H4C16/H2AC11/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14/H2AC12,21,Reactome
REACTOME_MITOTIC_PROPHASE,REACTOME_MITOTIC_PROPHASE,22/349,98/7889,0.22448979591836735,5.074498567335244,8.731746054293014,1.7143861767375888e-10,2.8482872094219237e-9,2.6119456986306754e-9,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_ESR_MEDIATED_SIGNALING,28/349,159/7889,0.1761006289308176,3.9806815519633814,8.168360308869348,2.3911398083779097e-10,3.904154135403243e-9,3.580200257553132e-9,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14/GNG10/GNG5/PDPK1/AREG/POU2F1/ESR1,28,Reactome
