ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_TRNA_AMINOACYLATION,REACTOME_TRNA_AMINOACYLATION,18/562,41/8976,0.43902439024390244,7.011891328877701,9.971027273550424,8.747770249666227e-12,1.7208975611843387e-10,1.625719915727444e-10,SARS1/GARS1/DARS1/EPRS1/NARS1/LARS1/TARS1/IARS1/RARS1/CARS1/KARS1/YARS1/HARS1/AARS1/WARS1/MARS1/VARS1/VARS2,18,Reactome
REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_DNA_REPLICATION_PRE_INITIATION,30/562,116/8976,0.25862068965517243,4.130568167873359,8.77040060766776,1.2128135516717581e-11,2.3454580719618237e-10,2.215737871386049e-10,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/CDC6/H4C15/H4C2/H4C4/H2BC26,30,Reactome
REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,31/562,128/8976,0.2421875,3.8681049822064058,8.446204732328495,3.4731133204343604e-11,6.604703831026009e-10,6.239417614254009e-10,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/ACSL1/PHLDA1/H4C15/H4C2/H4C4/H2BC26/LPL,31,Reactome
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,18/562,52/8976,0.34615384615384615,5.528606624692034,8.46390190077836,9.638824088438246e-10,1.8029341450668917e-8,1.7032193039794245e-8,H4C3/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2BC11/H4C16/H2BC12/H4C5/H4C14/H4C1/H4C11/H4C15/RAD50/H4C2/H4C4/H2BC26,18,Reactome
REACTOME_HDMS_DEMETHYLATE_HISTONES,REACTOME_HDMS_DEMETHYLATE_HISTONES,15/562,36/8976,0.4166666666666667,6.654804270462633,8.785858426554713,1.2080233638120093e-9,2.2231526743701656e-8,2.100196815863324e-8,H4C3/H4C8/H4C16/H3C10/H4C5/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/KDM6B/H4C4/JMJD6,15,Reactome
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,21/562,76/8976,0.27631578947368424,4.413185989885746,7.722463773900573,4.183624016440472e-9,7.577007940886632e-8,7.157946521027641e-8,H4C3/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2BC11/H4C16/H2BC12/H4C5/H4C14/H4C1/H4C11/BLM/H4C15/RAD50/SFN/H4C2/H4C4/RAD9A/H2BC26,21,Reactome
REACTOME_SIGNALING_BY_NOTCH,REACTOME_SIGNALING_BY_NOTCH,34/562,180/8976,0.18888888888888888,3.0168446026097273,7.063992215740311,4.726985842070375e-9,8.42732944656609e-8,7.961239312960632e-8,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/PSEN2/H4C1/H3C1/H4C11/ELF3/H4C15/CCND1/H4C2/H4C4/RBPJ/H2BC26/TACC3,34,Reactome
REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_ESR_MEDIATED_SIGNALING,33/562,174/8976,0.1896551724137931,3.0290833231071295,6.985024858669785,7.2020622325515826e-9,1.2642389242063624e-7,1.1943176884425623e-7,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/CCND1/GNG10/CITED1/H4C2/GNAI1/GNG5/H4C4/H2BC26,33,Reactome
REACTOME_DNA_REPLICATION,REACTOME_DNA_REPLICATION,30/562,149/8976,0.20134228187919462,3.215744345458454,7.048396926593879,8.318230869913025e-9,1.4380456700864792e-7,1.3585117082601178e-7,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/CDC6/H4C15/H4C2/H4C4/H2BC26,30,Reactome
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,18/562,60/8976,0.3,4.791459074733096,7.615196257908525,1.3026908620950752e-8,2.2184630950007176e-7,2.0957666029620693e-7,H4C3/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2BC11/H4C16/H2BC12/H4C5/H4C14/H4C1/H4C11/H4C15/RAD50/H4C2/H4C4/H2BC26,18,Reactome
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,38/562,225/8976,0.1688888888888889,2.6974139976275207,6.663989881056181,1.4861991636582989e-8,2.4937547731384104e-7,2.35583273000944e-7,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/PDK3/FABP5/H4C1/H3C1/APOD/H4C11/H4C15/CCND1/ABCG1/GNG10/CITED1/H4C2/PLTP/GNAI1/GNG5/H4C4/H2BC26,38,Reactome
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,20/562,78/8976,0.2564102564102564,4.095264166438543,7.095499163150834,3.955861744503358e-8,6.541504710838163e-7,6.179713846485796e-7,H4C3/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2BC11/H4C16/H2BC12/H4C5/H4C14/H4C1/H4C11/BLM/H4C15/RAD50/H4C2/H4C4/RAD9A/H2BC26,20,Reactome
REACTOME_CHROMATIN_ORGANIZATION,REACTOME_CHROMATIN_ORGANIZATION,38/562,243/8976,0.15637860082304528,2.4976055533588157,6.116500014771514,1.2310730517582738e-7,2.0066490743659863e-6,1.8956673759405602e-6,H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC25/H2AC8/H4C16/H2BC18/H2BC12/H3C10/H2AC11/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H2AC12/H2AC15/H2AC21/BCL7A/H4C15/CCND1/H4C2/JAK2/KDM6B/H4C4/JMJD6/H2BC26/ATXN7,38,Reactome
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,30/562,171/8976,0.17543859649122806,2.8020228507211087,6.14862209546137,2.1517415076211216e-7,3.457939521402394e-6,3.266691332548597e-6,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/H4C4/RNF43/H2BC26,30,Reactome
