category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,7/332,74/5974,0.0945945945945946,1.7021328557473137,1.4742050967079918,0.11540093671216856,0.9089715241325015,0.9089715241325015,2534/2790/2770/817/3717/56479/2787,7
Organismal Systems,Digestive system,hsa04970,Salivary secretion,5/332,47/5974,0.10638297872340426,1.9142527557036657,1.5263231866222533,0.11772978774246577,0.9089715241325015,0.9089715241325015,490/3783/153/1472/486,5
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,11/332,133/5974,0.08270676691729323,1.4882235709756317,1.3811782114708402,0.11993236717330376,0.9089715241325015,0.9089715241325015,5031/3586/196527/836/5029/1849/1847/4035/817/3717/4772,11
Metabolism,Glycan biosynthesis and metabolism,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,2/332,11/5974,0.18181818181818182,3.2716319824753564,1.8291556831800846,0.12161801612006312,0.9089715241325015,0.9089715241325015,8706/28,2
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,9/332,104/5974,0.08653846153846154,1.5571709916589433,1.3903843627162291,0.12286004022003448,0.9089715241325015,0.9089715241325015,55072/8743/8737/7124/128866/817/330/3717/5321,9
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,9/332,105/5974,0.08571428571428572,1.542340791738382,1.3599834516293545,0.12822583745034025,0.9089715241325015,0.9089715241325015,5571/51422/5534/1827/595/2770/817/4772/5321,9
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,6/332,62/5974,0.0967741935483871,1.741352506801399,1.4233186852539812,0.12837955951915214,0.9089715241325015,0.9089715241325015,5803/5336/527/836/4233/6352,6
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,6/332,63/5974,0.09523809523809523,1.7137119908204246,1.3813748558940044,0.13569527983807234,0.9089715241325015,0.9089715241325015,22801/1311/3909/2335/3918/6385,6
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,19/332,262/5974,0.07251908396946564,1.3049066494987582,1.2242558848295575,0.1394991799171157,0.9089715241325015,0.9089715241325015,4803/2246/22801/7422/23678/2688/5525/3479/595/2790/1311/3909/2335/4233/3918/1943/3717/1942/2787,19
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,29/332,424/5974,0.06839622641509434,1.2307200500113662,1.195557676196021,0.139551980368569,0.9089715241325015,0.9089715241325015,2246/623/653689/5336/3600/836/79444/7422/112399/3479/595/7849/2790/2770/9618/3909/2335/2737/8313/817/4233/3918/7046/330/3717/5915/2122/8325/2787,29
