ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,57,-0.9016015576827185,-1.8244169548002278,3.256081168760333e-7,7.6142205792549324e-6,6.828542693999403e-6,503,"tags=28%, list=3%, signal=27%",H4C4/RAD50/H4C15/H4C11/H4C14/H4C5/H4C1/H2BC12/H4C16/H2BC11/H4C8/H2BC15/H2BC21/H2BC5/H2AX/H4C3,Reactome
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,168,-0.8449893322055394,-1.8240542697726934,9.973601683251346e-12,1.010658303902803e-9,9.063729248989821e-10,384,"tags=17%, list=3%, signal=16%",PPP2R5A/H4C15/H4C11/H4C14/RNF43/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_CRISTAE_FORMATION,REACTOME_CRISTAE_FORMATION,31,-0.9442485474197998,-1.8190963223209813,2.5611203997509784e-7,6.106514521759196e-6,5.476410183987645e-6,442,"tags=16%, list=3%, signal=16%",DMAC2L/MICOS10/MICOS13/ATP5MK/ATP5MJ,Reactome
REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,127,-0.8498786580534702,-1.8157290228369987,1.9746156361626764e-9,6.156750291214909e-8,5.52146234565326e-8,503,"tags=22%, list=3%, signal=21%",H4C4/KMT2A/ACSL1/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,74,-0.8789697449197635,-1.812521032769593,5.1454869161572734e-8,1.4220254750107373e-6,1.2752929294590753e-6,503,"tags=24%, list=3%, signal=24%",RAD9A/H4C4/RAD50/H4C15/H4C11/H4C14/H4C5/H4C1/BLM/H2BC12/H4C16/H2BC11/H4C8/H2BC15/H2BC21/H2BC5/H2AX/H4C3,Reactome
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,76,-0.8776577047561326,-1.8102538056160724,1.9779488392341624e-7,4.810371577017483e-6,4.3140105209401945e-06,503,"tags=24%, list=3%, signal=23%",RAD9A/H4C4/RAD50/H4C15/H4C11/H4C14/H4C5/H4C1/BLM/H2BC12/H4C16/H2BC11/H4C8/H2BC15/H2BC21/H2BC5/H2AX/H4C3,Reactome
REACTOME_SIGNALING_BY_NOTCH,REACTOME_SIGNALING_BY_NOTCH,180,-0.8367879987964199,-1.8093457749623083,7.2671372678500395e-12,8.033489925186952e-10,7.204549482768079e-10,372,"tags=17%, list=2%, signal=16%",HDAC9/TACC3/ELF3/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/PSEN2/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,169,-0.834303570105901,-1.8018681204784857,4.5278140468663814e-11,2.621819943328343e-9,2.3512858910042967e-9,529,"tags=17%, list=4%, signal=17%",CBFB/H4C4/KMT2A/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION,31,-0.9258122288170196,-1.7835787253290687,7.401046076107063e-6,1.6155823452611453e-4,1.4488775187764425e-4,252,"tags=13%, list=2%, signal=13%",GTF2H4/POLR1G/POLR1F/POLR1H,Reactome
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,131,-0.8335332683853538,-1.782981074019103,1.215135063428722e-8,3.4362889235565724e-7,3.081713404436123e-7,753,"tags=15%, list=5%, signal=15%",PSMA6/RAD9A/H4C4/RAD50/H4C15/H4C11/H4C14/H4C5/H4C1/BLM/H2BC12/H4C16/H2BC11/H4C8/H2BC15/H2BC21/H2BC5/H2AX/H4C3/PSMA2,Reactome
