ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,11/341,45/8748,0.24444444444444444,6.270967741935484,7.139180338378426,8.295505829462709e-7,1.1940500815135718e-5,1.0994522080196988e-5,H4C3/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2BC11/H4C16/H2BC12/H4C5/H4C11,11,Reactome
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,25/341,218/8748,0.11467889908256881,2.9419677688396244,5.8476581729264,1.1454343086372572e-6,1.6241232734408872e-5,1.4954531193677308e-5,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/PDK3/H4C5/H4C11/APOD/GNG10/ABCG1/CCND1,25,Reactome
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,21/341,163/8748,0.12883435582822086,3.3051112750301352,5.982762688402853,1.2815427513666616e-6,1.7903906085269536e-5,1.6485480284608297e-5,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11,21,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,28/341,265/8748,0.10566037735849057,2.7106069827920103,5.694881255944156,1.3695604004116956e-6,1.8856266382479867e-5,1.73623904308485e-5,H3-3B/H3-3A/POLR1H/H2AJ/POLR1F/H2AZ2/H4C3/H2AC6/H2AX/POLR1G/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/GTF2H4/H4C11/BCL7A/TASOR/ACSL1/KMT2A,28,Reactome
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,13/341,67/8748,0.19402985074626866,4.977633825009848,6.582086000544183,1.440302532158585e-6,1.954696293643794e-5,1.7998366980808785e-5,H4C3/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2BC11/H4C16/H2BC12/SFN/H4C5/H4C11/WEE1,13,Reactome
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,11/341,54/8748,0.2037037037037037,5.225806451612903,6.27310985306794,5.708907500926015e-6,7.63867905053481e-5,7.033509463705736e-5,H4C3/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2BC11/H4C16/H2BC12/H4C5/H4C11,11,Reactome
REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_RHO_GTPASE_EFFECTORS,24/341,236/8748,0.1016949152542373,2.6088771807743925,5.046024037884996,1.5255864762296793e-5,2.012926600580827e-4,1.8534537452439528e-4,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/SEH1L/SFN/H4C5/H4C11/ITGB1/MRTFA,24,Reactome
REACTOME_METALLOPROTEASE_DUBS,REACTOME_METALLOPROTEASE_DUBS,7/341,26/8748,0.2692307692307692,6.906835100383487,6.074628296309178,4.453868679790257e-5,5.796130473699649e-4,5.33693564946749e-4,H2AC6/H2AC20/H2AC25/H2AC8/H2AC11/H2AC19/H2AC12,7,Reactome
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,5/341,12/8748,0.4166666666666667,10.689149560117302,6.764040496234629,5.520312738905321e-5,7.086887975621696e-4,6.525433692788509e-4,H1-2/H1-0/H1-4/H1-1/H1-3,5,Reactome
REACTOME_SIGNALING_BY_WNT,REACTOME_SIGNALING_BY_WNT,23/341,241/8748,0.0954356846473029,2.448303135761307,4.591620698001367,6.288404153228558e-5,7.965311927422839e-4,7.334265054502359e-4,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/TLE5/GNG10,23,Reactome
