category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,2/117,43/5299,0.046511627906976744,2.1065394553766645,1.0946459057313875,0.24530666361305914,0.9211325552932047,0.9211325552932047,2534/5336,2
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,2/117,43/5299,0.046511627906976744,2.1065394553766645,1.0946459057313875,0.24530666361305914,0.9211325552932047,0.9211325552932047,10991/2790,2
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,1/117,13/5299,0.07692307692307693,3.483892176199869,1.347227812151629,0.25217359910552295,0.9211325552932047,0.9211325552932047,10991,1
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,5/117,154/5299,0.032467532467532464,1.4704739704739704,0.8902325611061696,0.25286277111574834,0.9211325552932047,0.9211325552932047,3918/1311/2335/2534/4233,5
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,3/117,79/5299,0.0379746835443038,1.7198961376176567,0.9686086456417677,0.25316863167249143,0.9211325552932047,0.9211325552932047,3918/2335/9618,3
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,2/117,44/5299,0.045454545454545456,2.0586635586635587,1.0594931315724965,0.25354546078159285,0.9211325552932047,0.9211325552932047,2534/27,2
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,3/117,82/5299,0.036585365853658534,1.6569731081926202,0.9008330355744298,0.27116369123493766,0.9211325552932047,0.9211325552932047,3717/2335/5336,3
Genetic Information Processing,Translation,hsa03015,mRNA surveillance pathway,3/117,85/5299,0.03529411764705882,1.5984917043740574,0.8357613593062693,0.2892998337494054,0.9211325552932047,0.9211325552932047,8106/11051/4440,3
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,5/117,163/5299,0.03067484662576687,1.3892821561533217,0.7584832513879571,0.2911949820384801,0.9211325552932047,0.9211325552932047,6385/8325/2335/4233/5336,5
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,3/117,87/5299,0.034482758620689655,1.5617447686413204,0.7937736224816262,0.3014452086095402,0.9211325552932047,0.9211325552932047,2023/5230/5224,3
Metabolism,Glycan biosynthesis and metabolism,hsa00510,N-Glycan biosynthesis,2/117,50/5299,0.04,1.8116239316239318,0.8663667245029996,0.30298361222980263,0.9211325552932047,0.9211325552932047,79644/7991,2
Metabolism,Lipid metabolism,hsa00100,Steroid biosynthesis,1/117,17/5299,0.058823529411764705,2.6641528406234287,1.0325680347169957,0.3162345954427518,0.9211325552932047,0.9211325552932047,1595,1
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,2/117,53/5299,0.03773584905660377,1.7090791807772938,0.779504684522023,0.32753651297416675,0.9211325552932047,0.9211325552932047,6827/256987,2
NA,NA,hsa04082,Neuroactive ligand signaling,2/117,53/5299,0.03773584905660377,1.7090791807772938,0.779504684522023,0.32753651297416675,0.9211325552932047,0.9211325552932047,5031/2790,2
Metabolism,Glycan biosynthesis and metabolism,hsa00515,Mannose type O-glycan biosynthesis,1/117,18/5299,0.05555555555555555,2.5161443494776825,0.9680971108313058,0.33138047812605365,0.9211325552932047,0.9211325552932047,84197,1
Organismal Systems,Excretory system,hsa04966,Collecting duct acid secretion,1/117,18/5299,0.05555555555555555,2.5161443494776825,0.9680971108313058,0.33138047812605365,0.9211325552932047,0.9211325552932047,527,1
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,4/117,132/5299,0.030303030303030304,1.3724423724423727,0.6510690081559353,0.33307820364407176,0.9211325552932047,0.9211325552932047,8325/54894/1452/4920,4
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,4/117,133/5299,0.03007518796992481,1.3621232568600987,0.6354849075904752,0.33813696396594245,0.9211325552932047,0.9211325552932047,81929/8325/27330/64121,4
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,4/117,134/5299,0.029850746268656716,1.351958157928307,0.620023964656022,0.34319925708895516,0.9211325552932047,0.9211325552932047,3925/4233/5336/3162,4
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,3/117,94/5299,0.031914893617021274,1.44544462629569,0.6547077585488317,0.3440886361279156,0.9211325552932047,0.9211325552932047,4286/27342/8887,3
NA,NA,hsa04081,Hormone signaling,3/117,95/5299,0.031578947368421054,1.430229419703104,0.6357603908069525,0.3501769024156295,0.9211325552932047,0.9211325552932047,3717/2790/10267,3
NA,NA,hsa04519,Cadherin signaling,6/117,220/5299,0.02727272727272727,1.2351981351981351,0.5353728108601504,0.35811814132109104,0.9211325552932047,0.9211325552932047,84152/8325/79633/1452/10787/4233,6
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,4/117,137/5299,0.029197080291970802,1.322353234761994,0.5743591176377758,0.35839847450227,0.9211325552932047,0.9211325552932047,2534/4233/2044/5336,4
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,1/117,20/5299,0.05,2.2645299145299145,0.8512722534010111,0.3606814271942834,0.9211325552932047,0.9211325552932047,653689,1
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,3/117,98/5299,0.030612244897959183,1.3864468864468864,0.5801758231221733,0.3684043513187486,0.9211325552932047,0.9211325552932047,3778/27345/490,3
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,6/117,223/5299,0.026905829596412557,1.2185811199264114,0.5010770075449387,0.37010138695884176,0.9211325552932047,0.9211325552932047,2246/3925/5495/27330/4803/4233,6
Genetic Information Processing,Replication and repair,hsa03420,Nucleotide excision repair,2/117,60/5299,0.03333333333333333,1.5096866096866097,0.5965609938436608,0.38381563877336144,0.9211325552932047,0.9211325552932047,548644/1161,2
