category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,3/159,109/5123,0.027522935779816515,0.8867924528301887,-0.21379568110193128,0.6640624821334883,0.9988044984545578,0.9988044984545578,8106/3717/8743,3
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,2/159,73/5123,0.0273972602739726,0.8827431722236581,-0.1805744682245925,0.6679469060789678,0.9988044984545578,0.9988044984545578,5571/1977,2
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,1/159,35/5123,0.02857142857142857,0.9205750224618149,-0.08437621397259336,0.669526565267708,0.9988044984545578,0.9988044984545578,2180,1
Organismal Systems,Endocrine system,hsa04929,GnRH secretion,1/159,35/5123,0.02857142857142857,0.9205750224618149,-0.08437621397259336,0.669526565267708,0.9988044984545578,0.9988044984545578,6696,1
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,2/159,74/5123,0.02702702702702703,0.870814210436852,-0.20032279968919062,0.6752555297790581,0.9988044984545578,0.9988044984545578,3918/5915,2
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,3/159,113/5123,0.02654867256637168,0.8554015695441644,-0.27815469866161474,0.6879202037249508,0.9988044984545578,0.9988044984545578,4046/527/3717,3
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,1/159,37/5123,0.02702702702702703,0.870814210436852,-0.1411334281783644,0.6898603936677882,0.9988044984545578,0.9988044984545578,1491,1
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,1/159,37/5123,0.02702702702702703,0.870814210436852,-0.1411334281783644,0.6898603936677882,0.9988044984545578,0.9988044984545578,482,1
Human Diseases,Neurodegenerative disease,hsa05017,Spinocerebellar ataxia,3/159,114/5123,0.02631578947368421,0.847898047004303,-0.2939098648639127,0.6936845092213397,0.9988044984545578,0.9988044984545578,5683/10939/6712,3
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,4/159,152/5123,0.02631578947368421,0.847898047004303,-0.34067256910814947,0.7013223112101443,0.9988044984545578,0.9988044984545578,3717/8743/5170/5451,4
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,2/159,78/5123,0.02564102564102564,0.8261570714400903,-0.27687019614423264,0.7031976455492168,0.9988044984545578,0.9988044984545578,5336/4046,2
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,3/159,116/5123,0.02586206896551724,0.8332791151594015,-0.3250369007364357,0.7049739336972165,0.9988044984545578,0.9988044984545578,5571/5010/23327,3
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,1/159,39/5123,0.02564102564102564,0.8261570714400903,-0.19502443342678732,0.7089504796050883,0.9988044984545578,0.9988044984545578,253782,1
Genetic Information Processing,Transcription,hsa03022,Basal transcription factors,1/159,39/5123,0.02564102564102564,0.8261570714400903,-0.19502443342678732,0.7089504796050883,0.9988044984545578,0.9988044984545578,2969,1
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,1/159,39/5123,0.02564102564102564,0.8261570714400903,-0.19502443342678732,0.7089504796050883,0.9988044984545578,0.9988044984545578,84152,1
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,2/159,79/5123,0.02531645569620253,0.8156993869914815,-0.2954304454150269,0.7098654846403369,0.9988044984545578,0.9988044984545578,5336/3717,2
Cellular Processes,Cell growth and death,hsa04210,Apoptosis,3/159,117/5123,0.02564102564102564,0.8261570714400903,-0.34041367691109264,0.7104994869365309,0.9988044984545578,0.9988044984545578,8743/8739/5170,3
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,3/159,118/5123,0.025423728813559324,0.8191557403261913,-0.35566911442025134,0.71594595150192,0.9988044984545578,0.9988044984545578,3717/653689/2099,3
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,2/159,80/5123,0.025,0.8055031446540881,-0.31377299000148084,0.7164086042681914,0.9988044984545578,0.9988044984545578,2790/2787,2
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,1/159,40/5123,0.025,0.8055031446540881,-0.22099629235472626,0.7180529331343548,0.9988044984545578,0.9988044984545578,5230,1
Metabolism,Glycan biosynthesis and metabolism,hsa00514,Other types of O-glycan biosynthesis,1/159,40/5123,0.025,0.8055031446540881,-0.22099629235472626,0.7180529331343548,0.9988044984545578,0.9988044984545578,55568,1
Genetic Information Processing,Replication and repair,hsa03460,Fanconi anemia pathway,1/159,40/5123,0.025,0.8055031446540881,-0.22099629235472626,0.7180529331343548,0.9988044984545578,0.9988044984545578,5429,1
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",2/159,81/5123,0.024691358024691357,0.7955586613867536,-0.3319038326870766,0.7228282675692099,0.9988044984545578,0.9988044984545578,5744/65268,2
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,1/159,41/5123,0.024390243902439025,0.7858567264917933,-0.24636641167653134,0.7268724459479763,0.9988044984545578,0.9988044984545578,84803,1
Genetic Information Processing,Replication and repair,hsa03410,Base excision repair,1/159,41/5123,0.024390243902439025,0.7858567264917933,-0.24636641167653134,0.7268724459479763,0.9988044984545578,0.9988044984545578,5428,1
