ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,27,-0.9424514950354038,-1.741124446931992,8.497159356116929e-6,2.1477926202270023e-4,2.0058244034372325e-4,438,"tags=63%, list=3%, signal=61%",H4C14/H4C5/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,72,-0.8700614351989256,-1.7386447678609565,7.752382134180246e-7,2.2462999940014954e-5,2.097820479955322e-5,695,"tags=21%, list=5%, signal=20%",CCNA1/H4C11/RAD50/H4C14/BLM/H4C5/H2BC12/H4C16/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H4C3,Reactome
REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES,101,-0.8527770843288288,-1.7374595451017,2.4957555875045877e-7,8.23599343876514e-6,7.691597629327005e-6,674,"tags=27%, list=5%, signal=26%",HAT1/H4C11/KAT7/KAT2B/H4C14/TAF6L/H2AC15/H4C5/H2AC12/H3C10/H3C1/H2AC11/H3C6/H2BC12/H2AC19/H2AC8/H2BC18/H4C16/H2AC25/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AC6/H4C3,Reactome
REACTOME_SIGNALING_BY_NOTCH,REACTOME_SIGNALING_BY_NOTCH,173,-0.8356567862720494,-1.733255043044977,1.019742859592931e-9,1.346060574662669e-7,1.2570865193110518e-7,668,"tags=18%, list=5%, signal=18%",NOTCH2NLA/H4C11/PSMA6/TACC3/KAT2B/H4C14/H4C5/HDAC9/ST3GAL6/ELF3/H3C10/H3C1/PSEN2/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,46,-0.8889939892692068,-1.7295763768947954,1.3134290239642307e-5,3.184395266264298e-4,2.9739080370747565e-4,622,"tags=28%, list=5%, signal=27%",H4C11/RAD50/H4C14/H4C5/H2BC12/H4C16/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H4C3,Reactome
REACTOME_CRISTAE_FORMATION,REACTOME_CRISTAE_FORMATION,31,-0.9206537199243708,-1.7223204172155067,4.612500655098301e-5,0.0010537789958186118,9.841246336991113e-4,49,"tags=16%, list=0%, signal=16%",DMAC2L/MICOS13/MICOS10/ATP5MJ/ATP5MK,Reactome
REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_ESR_MEDIATED_SIGNALING,167,-0.826102828262219,-1.7154557226186258,5.179197464182462e-9,5.077905490522157e-7,4.742258007274813e-7,641,"tags=16%, list=5%, signal=16%",GNAI1/H4C11/KAT2B/GNG5/H4C14/GNG10/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,162,-0.822647978691304,-1.70638511723641,2.815200815669736e-8,1.2863302188521717e-6,1.2013043156744541e-6,622,"tags=17%, list=5%, signal=17%",H4C11/PSMA6/PYGO1/H4C14/FZD5/H4C5/RSPO3/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,25,-0.9231660181279184,-1.6948035261948426,3.791604230242234e-4,0.007634620043267414,0.007129974770161133,3,"tags=8%, list=0%, signal=8%",PFDN4/PFDN5,Reactome
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,18,-0.9575532128441596,-1.6935988413136167,7.552949304254707e-5,0.0016023042452597486,0.0014963925877226432,458,"tags=17%, list=3%, signal=16%",DMAC2L/ATP5MJ/ATP5MK,Reactome
REACTOME_METALLOPROTEASE_DUBS,REACTOME_METALLOPROTEASE_DUBS,27,-0.9156368071394898,-1.6915858670916857,2.1866455881700954e-4,0.004557429752186094,0.004256185503104858,541,"tags=33%, list=4%, signal=32%",KAT2B/H2AC15/H2AC12/H2AC11/H2AC19/H2AC8/H2AC25/H2AC20/H2AC6,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION,31,-0.9009673886481951,-1.6854920532353874,2.8439185455182226e-4,0.005825129710475256,0.00544009101084611,360,"tags=13%, list=3%, signal=13%",GTF2H4/POLR1G/POLR1F/POLR1H,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,163,-0.8128005677975433,-1.685176733816019,1.2915074956336858e-7,4.38374544232234e-6,4.093981655332045e-6,622,"tags=17%, list=5%, signal=16%",H4C11/PSMA6/KAT2B/H4C14/H4C5/RSPO3/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_MITOCHONDRIAL_BIOGENESIS,REACTOME_MITOCHONDRIAL_BIOGENESIS,88,-0.8246420949634194,-1.6694785102711773,3.99092841749058e-5,9.296515607801586e-4,8.682019715242666e-4,49,"tags=7%, list=0%, signal=7%",DMAC2L/MICOS13/MICOS10/ATP5MJ/ATP5MK/PRKAG1,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,263,-0.800862370064866,-1.6630837792398512,2.004778586757915e-10,3.969461601780672e-8,3.70708180779446e-8,627,"tags=13%, list=5%, signal=13%",TASOR/H4C11/PPARG/PNPLA2/KAT2B/ZNF354A/H4C14/GTF2H4/LPL/ACSL1/H4C5/BCL7A/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/POLR1G/H2AX/H2AC6/H4C3/H2AZ2/POLR1F/H2AJ/POLR1H/H3-3A/H3-3B,Reactome
