gene	rho	pvalue	padj_x	program	cell_type	comparison	log2FC	padj_y
MT-CO2	0.30225212760759806	0.0	0.0	late_up	AF_outer	healthy_vs_degenerated_mild	-1.3833205527352217	0.0361498204733984
MT-CO2	0.30225212760759806	0.0	0.0	late_up	AF_outer	mild_vs_severe	1.4382223069958229	0.0210501515149839
TSPAN5	0.30224874546847147	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	-1.1995129072995745	0.0499147766083873
AHNAK2	0.30073806313679463	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	-1.1313974370370432	0.0436153172696742
SERPING1	-0.29709610844995354	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	1.5294997256371297	0.0339265928079632
UGDH	-0.29670953464797456	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.7952355332032539	0.0034072779920246
OCIAD2	0.29336349949941515	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	-0.8495293843782521	0.0264869787959861
BMP2	-0.28887512080950667	0.0	0.0	late_down	NP_mature_chondrocyte	healthy_vs_degenerated_severe	2.28201260383717	0.0370002103655501
BMP2	-0.28887512080950667	0.0	0.0	late_down	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.43950488227326	0.0013370109823346
BMP2	-0.28887512080950667	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_all	4.6701860258764105	0.0077789309388813
BMP2	-0.28887512080950667	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_severe	4.687494444482492	0.0068072634465171
NFKBIA	-0.28801049228010894	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	1.2034760771995283	0.0175176530726392
NQO1	0.2874198964999195	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	-0.9073907716147084	0.0364564858224109
NQO1	0.2874198964999195	0.0	0.0	late_up	AF_outer	healthy_vs_degenerated_severe	-1.139320861000639	0.0475947012864822
PLA2G2A	-0.28443990569092875	0.0	0.0	late_down	T_cell	mild_vs_severe	3.8234996149143226	0.0004591914564279
COL1A1	0.2828557633236237	0.0	0.0	late_up	T_cell	mild_vs_severe	4.93643959784116	1.3745512030031558e-05
COL1A1	0.2828557633236237	0.0	0.0	late_up	B_cell	mild_vs_severe	4.444184897739767	0.0116917093169257
MT1G	-0.2827596343273278	0.0	0.0	late_down	Macrophage	mild_vs_severe	-3.3979743225006898	0.000275644757698
MYO1B	0.2808432675968775	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.8674499817316617	0.0181287496625047
PLTP	0.27866128062891676	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.9431787009486328	0.0463279078127665
ANK3	-0.27778253460368874	0.0	0.0	late_down	T_cell	mild_vs_severe	2.1777750111659766	0.0271070869145177
CLK1	-0.2772388306629806	0.0	0.0	late_down	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.7381207203178459	0.0207746652386053
CLK1	-0.2772388306629806	0.0	0.0	late_down	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.9132154213349244	0.00010490348012
MT-ND4L	-0.2770514546916209	0.0	0.0	late_down	AF_outer	mild_vs_severe	2.067144866870517	0.0157132306242921
BAG1	0.2764610930956035	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	-1.454548803277711	0.037428459418966
COMMD4	0.2763414117229368	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	-0.5600962144855293	0.0239615914098786
DKK3	0.27181060980573035	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.664660903162679	0.0260239276073415
BAG2	0.2702519069629316	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	0.7501048589581786	0.0381439179587138
HEG1	0.26999148341421125	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.160085532131124	0.0085136157426532
ABRACL	0.2698001243014023	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.9402717974269144	0.035617709542616
GLIPR1	0.2697225680471853	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_all	1.3708482921237322	0.0244261394218088
GLIPR1	0.2697225680471853	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.5663356156618262	0.0036249010290504
