comparison	reason
CD16+ NK cells | healthy_vs_degenerated_severe	Underpowered: 0 ref, 3 test (need >= 3)
Classical monocytes | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
Small pre-B cells | healthy_vs_degenerated_severe	Underpowered: 1 ref, 0 test (need >= 3)
Pericyte_SMC | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
Tem/Effector helper T cells | healthy_vs_degenerated_severe	Underpowered: 1 ref, 1 test (need >= 3)
Naive B cells | healthy_vs_degenerated_severe	Underpowered: 1 ref, 1 test (need >= 3)
Pro-B cells | healthy_vs_degenerated_severe	Underpowered: 1 ref, 0 test (need >= 3)
B_cell | healthy_vs_degenerated_severe	Underpowered: 1 ref, 0 test (need >= 3)
Neutrophil-myeloid progenitor | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
Endothelial cells | mild_vs_severe	Underpowered: 1 ref, 3 test (need >= 3)
NK cells | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
Tem/Temra cytotoxic T cells | mild_vs_severe	Underpowered: 1 ref, 1 test (need >= 3)
Plasma cells | mild_vs_severe	Underpowered: 1 ref, 0 test (need >= 3)
Memory B cells | mild_vs_severe	No valid samples with >= 50 cells
Mast cells | mild_vs_severe	No valid samples with >= 50 cells
DC | mild_vs_severe	Underpowered: 1 ref, 0 test (need >= 3)
Macrophages | mild_vs_severe	Underpowered: 1 ref, 3 test (need >= 3)
CD16+ NK cells | mild_vs_severe	Underpowered: 2 ref, 3 test (need >= 3)
Classical monocytes | mild_vs_severe	No valid samples with >= 50 cells
Small pre-B cells | mild_vs_severe	No valid samples with >= 50 cells
Pericyte_SMC | mild_vs_severe	No valid samples with >= 50 cells
Tem/Effector helper T cells | mild_vs_severe	Underpowered: 1 ref, 1 test (need >= 3)
Naive B cells | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
Pro-B cells | mild_vs_severe	No valid samples with >= 50 cells
B_cell | mild_vs_severe	No valid samples with >= 50 cells
Neutrophil-myeloid progenitor | mild_vs_severe	No valid samples with >= 50 cells
NK cells | healthy_vs_herniated	Underpowered: 2 ref, 0 test (need >= 3)
Tcm/Naive helper T cells | healthy_vs_herniated	No valid samples with >= 50 cells
Tem/Trm cytotoxic T cells | healthy_vs_herniated	Underpowered: 1 ref, 1 test (need >= 3)
Tem/Temra cytotoxic T cells | healthy_vs_herniated	No valid samples with >= 50 cells
Plasma cells | healthy_vs_herniated	Underpowered: 1 ref, 0 test (need >= 3)
Memory B cells | healthy_vs_herniated	No valid samples with >= 50 cells
Mast cells | healthy_vs_herniated	No valid samples with >= 50 cells
DC | healthy_vs_herniated	No valid samples with >= 50 cells
Macrophages | healthy_vs_herniated	Underpowered: 0 ref, 2 test (need >= 3)
CD16+ NK cells | healthy_vs_herniated	No valid samples with >= 50 cells
Classical monocytes | healthy_vs_herniated	No valid samples with >= 50 cells
Small pre-B cells | healthy_vs_herniated	Underpowered: 1 ref, 0 test (need >= 3)
Pericyte_SMC | healthy_vs_herniated	No valid samples with >= 50 cells
Tem/Effector helper T cells | healthy_vs_herniated	Underpowered: 1 ref, 0 test (need >= 3)
Naive B cells | healthy_vs_herniated	Underpowered: 1 ref, 0 test (need >= 3)
Pro-B cells | healthy_vs_herniated	Underpowered: 1 ref, 0 test (need >= 3)
B_cell | healthy_vs_herniated	Underpowered: 1 ref, 0 test (need >= 3)
Neutrophil-myeloid progenitor | healthy_vs_herniated	No valid samples with >= 50 cells
NP_stressed_degenerative | healthy_vs_degenerated_all	Underpowered: 1 ref, 11 test (need >= 3)
NP_notochordal | healthy_vs_degenerated_all	Underpowered: 1 ref, 8 test (need >= 3)
NP_fibrocartilaginous | healthy_vs_degenerated_all	No valid samples with >= 50 cells
EP_ossification | healthy_vs_degenerated_all	Underpowered: 1 ref, 0 test (need >= 3)
EP_hyaline_cartilage | healthy_vs_degenerated_all	No valid samples with >= 50 cells
NP_stressed_degenerative | healthy_vs_degenerated_mild	Underpowered: 1 ref, 5 test (need >= 3)
NP_notochordal | healthy_vs_degenerated_mild	Underpowered: 1 ref, 4 test (need >= 3)
NP_fibrocartilaginous | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
EP_ossification | healthy_vs_degenerated_mild	Underpowered: 1 ref, 0 test (need >= 3)
EP_hyaline_cartilage | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
NP_stressed_degenerative | healthy_vs_degenerated_severe	Underpowered: 1 ref, 6 test (need >= 3)
NP_notochordal | healthy_vs_degenerated_severe	Underpowered: 1 ref, 4 test (need >= 3)
NP_fibrocartilaginous | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
EP_ossification | healthy_vs_degenerated_severe	Underpowered: 1 ref, 0 test (need >= 3)
EP_hyaline_cartilage | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
NP_fibrocartilaginous | mild_vs_severe	No valid samples with >= 50 cells
EP_ossification | mild_vs_severe	No valid samples with >= 50 cells
EP_hyaline_cartilage | mild_vs_severe	No valid samples with >= 50 cells
NP_stressed_degenerative | healthy_vs_herniated	Underpowered: 1 ref, 3 test (need >= 3)
NP_notochordal | healthy_vs_herniated	Underpowered: 1 ref, 0 test (need >= 3)
NP_fibrocartilaginous | healthy_vs_herniated	No valid samples with >= 50 cells
EP_ossification | healthy_vs_herniated	Underpowered: 1 ref, 0 test (need >= 3)
EP_hyaline_cartilage | healthy_vs_herniated	No valid samples with >= 50 cells
Fibroblasts | healthy_vs_degenerated_all	Underpowered: 2 ref, 1 test (need >= 3)
AF_mechanical_stress | healthy_vs_degenerated_all	Underpowered: 3 ref, 2 test (need >= 3)
AF_inner | healthy_vs_degenerated_all	Underpowered: 1 ref, 14 test (need >= 3)
Fibroblasts | healthy_vs_degenerated_mild	Underpowered: 2 ref, 0 test (need >= 3)
AF_mechanical_stress | healthy_vs_degenerated_mild	Underpowered: 3 ref, 0 test (need >= 3)
AF_inner | healthy_vs_degenerated_mild	Underpowered: 1 ref, 6 test (need >= 3)
Fibroblasts | healthy_vs_degenerated_severe	Underpowered: 2 ref, 1 test (need >= 3)
AF_mechanical_stress | healthy_vs_degenerated_severe	Underpowered: 3 ref, 2 test (need >= 3)
AF_inner | healthy_vs_degenerated_severe	Underpowered: 1 ref, 5 test (need >= 3)
Fibroblasts | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
AF_mechanical_stress | mild_vs_severe	Underpowered: 0 ref, 2 test (need >= 3)
AF_outer | healthy_vs_herniated	DESeq2 error: Singular matrix
Fibroblasts | healthy_vs_herniated	Underpowered: 2 ref, 0 test (need >= 3)
AF_mechanical_stress | healthy_vs_herniated	Underpowered: 3 ref, 1 test (need >= 3)
AF_inner | healthy_vs_herniated	Underpowered: 1 ref, 2 test (need >= 3)
