Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	cell_type	comparison	library
prerank	Cellular Response To Interleukin-6 (GO:0071354)	0.707416879040599	1.8169163249953424	0.0048543689320388345	0.028292109668081072	0.922	6/17	7.09%	SRC;ST3GAL6;IL6R;NFKB1;PID1;IL6ST	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Platelet Activation (GO:0010543)	0.719552524429052	1.8162693147474103	0.0024449877750611247	0.0283402298976452	0.923	2/15	0.48%	THBD;PDGFRA	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173)	0.6638635985272807	1.8147804984603162	0.004878048780487805	0.028670078358998097	0.927	6/21	9.01%	TNF;INHBA;NFKB1;TMEM106A;PAX8;KLF4	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001240)	0.7594985042691165	1.8145471091443857	0.004962779156327543	0.02842728887817881	0.927	6/12	16.47%	TNF;MCL1;EYA3;BCL2;HSPA1A;SNAI2	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099)	0.7594985042691165	1.8145471091443857	0.004962779156327543	0.02842728887817881	0.927	6/12	16.47%	TNF;MCL1;EYA3;BCL2;HSPA1A;SNAI2	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Phosphorylation (GO:0042326)	0.5305256751075673	1.8142402087333553	0.002777777777777778	0.028396534667317886	0.928	14/61	8.67%	INHBA;PRNP;CDKN1A;PLPP3;CDKN1B;SIRPA;CRKL;PID1;WWTR1;DNAJC10;CORO1C;CDKN2A;IGFBP3;TARDBP	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Cell Communication (GO:0010647)	0.7132623796649379	1.813989658272505	0.004608294930875576	0.028289306236496014	0.928	8/15	16.52%	TNF;HOMER1;WLS;SOX11;ILK;CLSTN3;EDN1;ANK3	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Pentose-Phosphate Shunt (GO:0006098)	-0.7992112867129333	-1.8138163479635683	0.0	0.032169520822434274	0.642	5/11	5.19%	PGLS;PGD;TALDO1;G6PD;RBKS	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Receptor Signaling Pathway Via STAT (GO:1904893)	0.7783623217488806	1.811330027490197	0.0023584905660377358	0.028847833388808673	0.931	4/11	7.06%	SOCS3;PPARG;VHL;CAV1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Lipid Kinase Activity (GO:0090218)	0.7096985368144855	1.8105870337057226	0.009237875288683603	0.028883821824164237	0.931	6/16	8.82%	PDGFRA;FLT1;PTK2;PDGFRB;FGF2;PIK3R4	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Synapse Organization (GO:0050807)	0.7487286866791385	1.8103121511851472	0.004784688995215311	0.028836257954892388	0.931	1/13	0.01%	TNF	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913)	0.7067344040562691	1.809953423035475	0.0	0.028811745955634484	0.931	5/17	3.87%	PMAIP1;P2RX7;ZBTB20;NFKB1;ARNT	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Renal System Development (GO:0072001)	0.6144107397582759	1.8089132666201733	0.002331002331002331	0.029034549768051914	0.931	13/34	15.11%	VEGFA;PCSK5;TGFB2;SULF1;SIX1;TGFBR1;PYGO2;PAX8;PROX1;HAS2;AGT;TBX18;SIX2	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Blood Coagulation (GO:0030193)	0.7455980259391316	1.8061212074882536	0.007653061224489796	0.029739369853687532	0.932	5/14	7.06%	THBS1;THBD;SERPINE2;PLAU;CAV1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Cellular Response To Lipopolysaccharide (GO:0071222)	0.5150708473125527	1.8055875544108906	0.0	0.029792292525441983	0.932	13/72	5.59%	TNF;CXCL3;CXCL2;CCL2;AXL;CCL5;ADAM9;PLCG2;CD274;NFKB1;SIRPA;IRAK1;PDCD4	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Granulocyte Chemotaxis (GO:0071621)	0.6487336703318348	1.8037299288991517	0.0	0.030316779901958853	0.936	7/24	7.40%	CXCL3;CXCL2;CCL2;CCL5;TGFB2;LGALS3;PDE4B	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
