source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition	is_pain_relevant	pain_categories
AF_outer	NP_mature_chondrocyte	FGF2	SDC4	0.6892867	0.0	0.47507638	0.03627164364592822	0.02433539352336056	0.023387583	0.72017694	0.6355156891976977	0.5775002759829594	degenerated	True	pain_ligand:FGF2
NK cells	NP_stressed_degenerative	VEGFA	CD44	0.636478	1.0	0.39377588	-0.32104972865785364	-0.16819586851905743	0.0013637061	0.70088017	1.0	0.5777265443335892	degenerated	True	pain_ligand:VEGFA
Naive B cells	Macrophages	VEGFA	ITGB1	0.63631785	1.0	0.30633828	-0.4567076734780978	-0.736634987960552	0.0013994196	0.67391515	1.0	0.5782359984462879	degenerated	True	pain_ligand:VEGFA
Macrophages	DC	CCL2	CCR1	1.0433121	0.0	1.0013695	2.9778880687370446	1.8137286849409227	0.099140115	0.78887606	4.8619414898182715e-05	0.5782671970509616	degenerated	True	pain_ligand:CCL2
DC	Endothelial cells	TNFSF12	TNFRSF12A	0.7293265	0.31	0.30149233	0.5073464607844591	0.009511230665665282	0.007639189	0.67216074	0.6808657872392802	0.578292742278391	degenerated	True	pain_ligand:TNF
AF_inner	NP_mature_chondrocyte	PTGS2	CAV1	1.043278	0.08	1.0776598	0.015286392948147182	-0.31619505422087846	0.0064522745	0.7949256	1.0	0.5784730104714425	degenerated	True	pain_ligand:PTGS2
Macrophages	DC	VEGFA	ITGAV	0.76271963	0.21	0.4756831	0.08299044107241448	0.12187924254288551	0.0071420902	0.72030556	0.493155767626948	0.578689157598556	degenerated	True	pain_ligand:VEGFA
NP_stressed_degenerative	Macrophages	VEGFA	SIRPA	0.69091105	0.0	0.4757062	0.26613348696865885	0.6443786276596049	0.009224685	0.7203104	0.09550685343433395	0.5787457519708048	degenerated	True	pain_ligand:VEGFA
NK cells	Tem/Trm cytotoxic T cells	VEGFA	CD44	1.0430725	0.18	0.8248011	0.07959934427113302	0.15998061825098375	0.0028564122	0.7722699	1.0	0.5789533759146246	degenerated	True	pain_ligand:VEGFA
NP_stressed_degenerative	DC	TNFSF13B	HLA-DPB1	1.3389319	0.0	0.7446889	2.281934146102871	2.152053718980591	0.017641414	0.76316035	0.005963467576966869	0.5791592732985787	degenerated	True	pain_ligand:TNF
Fibroblasts	Fibroblasts	GRN	TNFRSF1A	0.7174548	0.46	0.47589958	0.03565583177765952	-0.15319879914216794	0.005437979	0.72035134	1.0	0.5791991773758218	degenerated	True	pain_receptor:TNFRSF1A
Classical monocytes	Memory B cells	VEGFA	ITGB1	0.6356636	0.98	0.39201263	-0.4517469495420513	-0.0959533969916948	0.0017907989	0.70040953	1.0	0.5793692505367827	degenerated	True	pain_ligand:VEGFA
Fibroblasts	Tem/Temra cytotoxic T cells	TNFSF9	HLA-DPA1	0.29898253	0.05	0.06942209	0.35922076962953436	0.44767821076891845	0.001441554	0.4959262	1.0	0.5796536360531912	degenerated	True	pain_ligand:TNF
NP_mature_chondrocyte	Macrophages	VEGFA	ITGAV	1.0427866	0.0	1.0227363	0.4179359941171645	0.5883230230622858	0.015355759	0.79062885	0.02455261485453701	0.5797085283911659	degenerated	True	pain_ligand:VEGFA
Macrophages	DC	TNFSF9	HLA-DPA1	1.3617408	0.0	0.47646254	2.78967573130508	1.6443474146763557	0.009893775	0.7204704	0.011646756987644188	0.5799363417347191	degenerated	True	pain_ligand:TNF
Endothelial cells	NP_notochordal	ADAM10	IL6R	0.6353603	0.0	0.39095095	0.5831450647089569	0.8649593593220035	0.0072929324	0.7001249	0.10350413227990742	0.5802201157522242	degenerated	True	pain_receptor:IL6R
Naive B cells	Plasma cells	ADAM17	IL6R	0.6352993	0.0	0.38946405	0.653049729795563	1.059347687899419	0.018931203	0.69972473	0.005963467576966869	0.5803903887002437	degenerated	True	pain_receptor:IL6R
AF_outer	NP_mature_chondrocyte	VEGFA	ITGB1	1.0424696	1.0	0.9403391	-0.06686784526270176	-0.41936309188386256	0.004295673	0.7835918	1.0	0.5805326379198469	degenerated	True	pain_ligand:VEGFA
Fibroblasts	NP_mature_chondrocyte	ANGPT1	ITGB1	1.0421739	0.0	0.93949604	0.7035222019836854	0.4414387334179819	0.032500975	0.7835158	0.049509469770819665	0.5812196306109485	degenerated	True	pain_ligand:ANGPT1
Endothelial cells	Tem/Effector helper T cells	VEGFA	CD44	0.8876105	0.76	0.30073717	-0.07186805083098116	-0.3333500545695084	0.0010414989	0.6718843	1.0	0.5812990138491815	degenerated	True	pain_ligand:VEGFA
Macrophages	NP_stressed_degenerative	VEGFA	SIRPA	0.6823273	0.11	0.3006874	0.10935103743777005	0.47215153690342776	0.0058307974	0.6718661	0.3596524539769114	0.581412725996529	degenerated	True	pain_ligand:VEGFA
NP_mature_chondrocyte	DC	SEMA3A	NRP2	0.69216454	0.03	0.47697937	0.34740545370943215	0.4564427797273527	0.03932664	0.7205796	0.1760704091790426	0.5815264529722858	degenerated	True	pain_ligand:SEMA3A; pain_receptor:NRP2
Endothelial cells	NP_mature_chondrocyte	CXCL8	SDC2	0.7628883	0.18	0.3005255	0.07127085966029267	-0.6474048195134535	0.0018796958	0.6718067	1.0	0.5818675431342265	degenerated	True	pain_ligand:CXCL8
Tem/Temra cytotoxic T cells	DC	CXCL8	SDC3	0.634622	0.01	0.40142342	0.8867037491238545	0.3052697938962523	0.017280523	0.70289254	0.12741902281338618	0.582208766646086	degenerated	True	pain_ligand:CXCL8
Naive B cells	Fibroblasts	GRN	TNFRSF1A	0.6345214	0.68	0.32420808	-0.05120504056513567	-0.05759119707756599	0.0037046403	0.6801137	1.0	0.5824931015397917	degenerated	True	pain_receptor:TNFRSF1A
