cell_type	comparison	tf	activity	pvalue	n_targets	n_de_targets	concordant_up	concordant_down	padj
NP_notochordal	mild_vs_severe	NFYB	0.0	1.0	28	0	0	0	1.0
NP_notochordal	mild_vs_severe	ETV3	0.0	1.0	10	0	0	0	1.0
NP_notochordal	mild_vs_severe	GSC	0.0	1.0	5	0	0	0	1.0
NP_notochordal	mild_vs_severe	IRF7	-0.125	0.003574616593169219	8	1	0	1	0.09480504877535754
NP_notochordal	mild_vs_severe	NFATC3	0.0	1.0	18	0	0	0	1.0
NP_notochordal	mild_vs_severe	KDM5A	0.0	1.0	13	0	0	0	1.0
NP_notochordal	mild_vs_severe	GRHL3	0.0	1.0	14	0	0	0	1.0
NP_notochordal	mild_vs_severe	THRA	0.0	1.0	42	0	0	0	1.0
NP_notochordal	mild_vs_severe	SOX17	0.0	1.0	24	0	0	0	1.0
NP_notochordal	mild_vs_severe	TBX15	0.0	1.0	19	0	0	0	1.0
NP_notochordal	mild_vs_severe	NFAT5	0.0	1.0	35	0	0	0	1.0
NP_notochordal	mild_vs_severe	BMAL2	0.0	1.0	7	0	0	0	1.0
NP_notochordal	mild_vs_severe	NFE2L2	0.0	1.0	143	0	0	0	1.0
NP_notochordal	mild_vs_severe	ZIC1	0.0	1.0	9	0	0	0	1.0
NP_notochordal	mild_vs_severe	MEIS1	0.0	1.0	9	0	0	0	1.0
NP_notochordal	mild_vs_severe	HOXA9	-0.037037037037037035	0.012023372945555806	27	1	0	1	0.1746251784949772
NP_notochordal	mild_vs_severe	MAFA	0.0	1.0	12	0	0	0	1.0
NP_notochordal	mild_vs_severe	NR1D1	0.0	1.0	12	0	0	0	1.0
NP_notochordal	mild_vs_severe	MYF6	0.0	1.0	6	0	0	0	1.0
NP_notochordal	mild_vs_severe	ZNF263	0.0	1.0	5	0	0	0	1.0
NP_notochordal	mild_vs_severe	NFIA	0.0	1.0	31	0	0	0	1.0
NP_notochordal	mild_vs_severe	HEY2	0.0	1.0	10	0	0	0	1.0
NP_notochordal	mild_vs_severe	HOXB7	0.0	1.0	11	0	0	0	1.0
NP_notochordal	mild_vs_severe	ZNF350	0.0	1.0	9	0	0	0	1.0
NP_notochordal	mild_vs_severe	BCL11A	0.0	1.0	8	0	0	0	1.0
NP_notochordal	mild_vs_severe	TWIST1	0.0	1.0	53	0	0	0	1.0
NP_notochordal	mild_vs_severe	ZNF395	0.0	1.0	5	0	0	0	1.0
NP_notochordal	mild_vs_severe	TFDP2	0.0	1.0	5	0	0	0	1.0
NP_notochordal	mild_vs_severe	GTF3A	0.0	1.0	16	0	0	0	1.0
NP_notochordal	mild_vs_severe	KLF10	0.0	1.0	17	0	0	0	1.0
NP_notochordal	mild_vs_severe	KLF2	0.0	1.0	34	0	0	0	1.0
NP_notochordal	mild_vs_severe	PHF20	0.0	1.0	6	0	0	0	1.0
NP_notochordal	mild_vs_severe	TGIF1	0.0	1.0	8	0	0	0	1.0
NP_notochordal	mild_vs_severe	FOXG1	0.0	1.0	12	0	0	0	1.0
NP_notochordal	mild_vs_severe	MBD2	0.0	1.0	57	0	0	0	1.0
NP_notochordal	mild_vs_severe	FOXF2	0.0	1.0	8	0	0	0	1.0
NP_notochordal	mild_vs_severe	HEY1	0.0	1.0	21	0	0	0	1.0
NP_notochordal	mild_vs_severe	ZBTB17	0.0	1.0	36	0	0	0	1.0
NP_notochordal	mild_vs_severe	IRF5	0.08333333333333333	0.005358087407164043	12	1	1	0	0.099043433890002
NP_notochordal	mild_vs_severe	THRB	0.0	1.0	30	0	0	0	1.0
NP_notochordal	mild_vs_severe	POU3F2	0.0	1.0	12	0	0	0	1.0
NP_notochordal	mild_vs_severe	FOXI1	0.0	1.0	5	0	0	0	1.0
NP_notochordal	mild_vs_severe	KCNIP3	0.0	1.0	6	0	0	0	1.0
NP_notochordal	mild_vs_severe	FOSB	0.0	1.0	20	0	0	0	1.0
NP_notochordal	mild_vs_severe	NFE2L1	0.0	1.0	8	0	0	0	1.0
NP_notochordal	mild_vs_severe	FOXP1	0.0	1.0	11	0	0	0	1.0
NP_notochordal	mild_vs_severe	FOXP2	0.0	1.0	5	0	0	0	1.0
NP_notochordal	mild_vs_severe	BARX1	0.14285714285714285	0.0031283494024639032	7	1	1	0	0.09480504877535754
NP_notochordal	mild_vs_severe	ZFPM2	0.0	1.0	7	0	0	0	1.0
NP_notochordal	mild_vs_severe	IKZF1	0.0	1.0	15	0	0	0	1.0
NP_notochordal	mild_vs_severe	BCL3	0.0	1.0	19	0	0	0	1.0
NP_notochordal	mild_vs_severe	SP2	0.0	1.0	16	0	0	0	1.0
NP_notochordal	mild_vs_severe	SIM2	0.0	1.0	8	0	0	0	1.0
