gene	rho	pvalue	padj	program
CA12	0.3839058195381045	0.0	0.0	late_up
NOP10	0.38362116214500386	0.0	0.0	late_up
CCDC85B	0.3834315566518844	0.0	0.0	late_up
MT1E	-0.38214798111676235	0.0	0.0	late_down
ARPC3	0.3816577605651168	0.0	0.0	late_up
RPS20	-0.38148885241704056	0.0	0.0	late_down
MDFI	-0.38148456794088187	0.0	0.0	late_down
VEGFB	0.38104670637265614	0.0	0.0	late_up
UCHL1	0.38101614604384304	0.0	0.0	late_up
NDUFC2	0.38049301245815753	0.0	0.0	late_up
PSMD9	0.38008052922059266	0.0	0.0	late_up
NDUFA4	0.37947065651614426	0.0	0.0	late_up
UQCR11	0.3793733699365663	0.0	0.0	late_up
HEG1	0.37921952445491963	0.0	0.0	late_up
AP2M1	0.3790074703609401	0.0	0.0	late_up
APOD	-0.3784264627403915	0.0	0.0	late_down
PAM16	0.37835052164197536	0.0	0.0	late_up
CISD1	0.3779005579053596	0.0	0.0	late_up
RPS2	0.37711730638582497	0.0	0.0	late_up
MYH9	0.3767633124283165	0.0	0.0	late_up
GAS6	0.3764875173378633	0.0	0.0	late_up
ADAM9	0.37623070084707	0.0	0.0	late_up
CAV1	0.37616758857637694	0.0	0.0	late_up
EPHX1	0.3760269716809782	0.0	0.0	late_up
GTF2H5	0.3756268067757003	0.0	0.0	late_up
SERPING1	-0.37358016248686826	0.0	0.0	late_down
HACD1	0.37337517170331763	0.0	0.0	late_up
RPP21	0.3730267697880786	0.0	0.0	late_up
COMMD7	0.372545397294897	0.0	0.0	late_up
ARPC5	0.37219861021385275	0.0	0.0	late_up
HEBP2	0.37195225612936406	0.0	0.0	late_up
BAG2	0.37168235242621706	0.0	0.0	late_up
EIF5	-0.37134488085543516	0.0	0.0	late_down
C9orf16	0.3710840785587716	0.0	0.0	late_up
ATF4	-0.37061983274389915	0.0	0.0	late_down
CARS2	0.37015275966763816	0.0	0.0	late_up
GSTO1	0.3694961240173613	0.0	0.0	late_up
IVNS1ABP	-0.3689803451997502	0.0	0.0	late_down
GTF2I	0.36888189427507434	0.0	0.0	late_up
TPM4	0.36877784482829373	0.0	0.0	late_up
RALA	0.3687009745894364	0.0	0.0	late_up
RPL34	-0.36833181146321226	0.0	0.0	late_down
CRTAC1	-0.3682838628383741	0.0	0.0	late_down
PPIA	0.36765074496173267	0.0	0.0	late_up
OMD	-0.36739964134519904	0.0	0.0	late_down
PLEKHO1	0.3672829965617945	0.0	0.0	late_up
JAK1	0.36721559749179117	0.0	0.0	late_up
SRGAP1	0.3670710640915477	0.0	0.0	late_up
PRELID1	0.3669258772671047	0.0	0.0	late_up
FKBP1A	0.3647899655747602	0.0	0.0	late_up
VAT1	0.3643747785947336	0.0	0.0	late_up
ZDHHC24	0.36419096412838337	0.0	0.0	late_up
MDK	0.36418436340745824	0.0	0.0	late_up
MAP4K4	0.36415614933130197	0.0	0.0	late_up
MEGF6	0.36409083050342184	0.0	0.0	late_up
RPS29	-0.36385752149191003	0.0	0.0	late_down
LY96	0.36286254803006546	0.0	0.0	late_up
ATOX1	0.3625854068572113	0.0	0.0	late_up
ZFP36	-0.3618752783442987	0.0	0.0	late_down
GADD45GIP1	0.36134400856571447	0.0	0.0	late_up
COX4I1	0.36126399592452324	0.0	0.0	late_up
TXN	0.3610059841652638	0.0	0.0	late_up
HNRNPA2B1	-0.36095293451655586	0.0	0.0	late_down
RBM4	0.36068506635592756	0.0	0.0	late_up
ZMAT3	0.36053103009934095	0.0	0.0	late_up
LDHB	0.3596789743950889	0.0	0.0	late_up
NTAN1	0.3585635864650447	0.0	0.0	late_up
AKR1C1	0.3579201205814839	0.0	0.0	late_up
SNX6	0.3575111261476567	0.0	0.0	late_up
METTL9	0.3574428873618582	0.0	0.0	late_up
LAMTOR1	0.3571777592932816	0.0	0.0	late_up
MAP2K2	0.3568257440412969	0.0	0.0	late_up
LAMTOR2	0.35622806945491015	0.0	0.0	late_up
DRAM1	0.3558364718655856	0.0	0.0	late_up
A2M	-0.3555070235304428	0.0	0.0	late_down
TMEM165	0.3551394793875395	0.0	0.0	late_up
NFATC1	-0.355129912961285	0.0	0.0	late_down
ARPC1A	0.35502417460490393	0.0	0.0	late_up
C1orf122	0.3549870984458932	0.0	0.0	late_up
AKAP12	0.3540747652428734	0.0	0.0	late_up
EIF3F	0.35400520836542315	0.0	0.0	late_up
S100A4	0.353969478840359	0.0	0.0	late_up
MAP1A	0.3538703461819396	0.0	0.0	late_up
YWHAB	0.3537676071243009	0.0	0.0	late_up
PRG4	-0.3536311650102594	0.0	0.0	late_down
SRSF3	-0.35362229422974856	0.0	0.0	late_down
FRZB	-0.35297531187998993	0.0	0.0	late_down
MCL1	-0.35293010157338767	0.0	0.0	late_down
NR4A3	-0.3527922844407925	0.0	0.0	late_down
SLC39A14	-0.3525870096516454	0.0	0.0	late_down
ETHE1	0.3525303640084676	0.0	0.0	late_up
SFRP1	0.35251575491395676	0.0	0.0	late_up
RPS27	-0.3522918199566284	0.0	0.0	late_down
INHBA	-0.35216767489353185	0.0	0.0	late_down
RPL21	-0.35120958516029627	0.0	0.0	late_down
ADAM12	0.35013581869224597	0.0	0.0	late_up
MRPS12	0.35004847358768415	0.0	0.0	late_up
TRIB1	-0.3498683144990978	0.0	0.0	late_down
PARK7	0.34903887455095245	0.0	0.0	late_up
STAT1	0.34854590616991415	0.0	0.0	late_up
CHMP4A	0.3479658074385145	0.0	0.0	late_up
ASAP1	0.3477872982218413	0.0	0.0	late_up
EFEMP2	0.34764178490103553	0.0	0.0	late_up
CTSK	0.3475175734826768	0.0	0.0	late_up
COMMD4	0.34740806738226615	0.0	0.0	late_up
ITGAE	0.34705734109269937	0.0	0.0	late_up
PLPP3	0.34694058386901183	0.0	0.0	late_up
XBP1	-0.34688378170927003	0.0	0.0	late_down
ENAH	0.3466167726521624	0.0	0.0	late_up
GRN	0.346613023193271	0.0	0.0	late_up
GLMP	0.3462350208903361	0.0	0.0	late_up
GLIPR1	0.3459563820805758	0.0	0.0	late_up
TUBB	0.3458140876411591	0.0	0.0	late_up
NDRG2	-0.3452823319934361	0.0	0.0	late_down
PEPD	0.34521397141229454	0.0	0.0	late_up
IAH1	0.34518106729839915	0.0	0.0	late_up
TIMM13	0.3449811600967653	0.0	0.0	late_up
TFPI	0.34493004634227087	0.0	0.0	late_up
MYLIP	-0.3444156694380529	0.0	0.0	late_down
MYO1B	0.3439840728315552	0.0	0.0	late_up
APEX1	0.3434384519075576	0.0	0.0	late_up
GREM1	0.34343089235000906	0.0	0.0	late_up
VCL	0.34339431185248326	0.0	0.0	late_up
BAG3	-0.3432754781790423	0.0	0.0	late_down
NDUFB10	0.34312670810754725	0.0	0.0	late_up
PSMD8	0.3429378056451568	0.0	0.0	late_up
SRSF5	-0.3410970943366213	0.0	0.0	late_down
BAG1	0.34084970717281615	0.0	0.0	late_up
HMGN1	0.34042591133071	0.0	0.0	late_up
TUBB2B	-0.3403495698633449	0.0	0.0	late_down
MRPS34	0.34031128157892554	0.0	0.0	late_up
NCS1	0.3399488891404904	0.0	0.0	late_up
ERP29	0.3399251017509027	0.0	0.0	late_up
CLK1	-0.33976503409542524	0.0	0.0	late_down
HSPH1	-0.3394255457109232	0.0	0.0	late_down
CREB3L1	0.33937691660609076	0.0	0.0	late_up
RRAS2	0.3389656902897196	0.0	0.0	late_up
TKT	0.3389405112692845	0.0	0.0	late_up
POMP	0.33840530918739564	0.0	0.0	late_up
ERRFI1	-0.3383016555426621	0.0	0.0	late_down
CDH19	-0.3374100423434553	0.0	0.0	late_down
CHRDL2	-0.33673738047829266	0.0	0.0	late_down
MYLK	0.33589836289242975	0.0	0.0	late_up
PON2	0.3358780733546859	0.0	0.0	late_up
RND3	0.3356746056569175	0.0	0.0	late_up
ARHGAP22	0.33561008692093447	0.0	0.0	late_up
SRPX	0.33526840862613627	0.0	0.0	late_up
COX6A1	0.3350280746437561	0.0	0.0	late_up
FN1	-0.33464992001213706	0.0	0.0	late_down
PAWR	0.3342776768176059	0.0	0.0	late_up
ARL2	0.3339751608094281	0.0	0.0	late_up
RPS6KA2	0.33389249364417095	0.0	0.0	late_up
ACTN4	0.3336403572538781	0.0	0.0	late_up
FBXO2	-0.3336019783045221	0.0	0.0	late_down
FAM3C	0.33313358477371535	0.0	0.0	late_up
PSME1	0.3330208235249331	0.0	0.0	late_up
EIF4A2	-0.3326403590682726	0.0	0.0	late_down
