gene	rho	pvalue	padj	program
CAPN2	0.5997969470579237	0.0	0.0	late_up
RACK1	0.599038108052626	0.0	0.0	late_up
C11orf96	-0.5989131278653872	0.0	0.0	late_down
PARD3	0.5980469486768099	0.0	0.0	late_up
ERC1	0.5979148088246685	0.0	0.0	late_up
TRIP6	0.59695344228178	0.0	0.0	late_up
GADD45B	-0.5966092229386748	0.0	0.0	late_down
JAK1	0.5965814881981369	0.0	0.0	late_up
RABGEF1	0.5960070012039637	0.0	0.0	late_up
RAB13	0.5957961942296234	0.0	0.0	late_up
PTPRK	0.5952825123477437	0.0	0.0	late_up
PRKN	0.5951999137228563	0.0	0.0	late_up
OPTN	0.5947704909318825	0.0	0.0	late_up
SH3D19	0.5942696498968398	0.0	0.0	late_up
PLPP1	0.594103454529199	0.0	0.0	late_up
NDUFV2	0.594059276428148	0.0	0.0	late_up
S100A6	0.5937702483952843	0.0	0.0	late_up
NSMCE2	0.5936869042893094	0.0	0.0	late_up
MT-ATP6	0.5932642508112277	0.0	0.0	late_up
STAG1	0.5927947311075654	0.0	0.0	late_up
EHBP1	0.5926850550136312	0.0	0.0	late_up
PTN	0.5923455514847086	0.0	0.0	late_up
NAV3	0.5922135593631993	0.0	0.0	late_up
AL139260.1	0.592009629888541	0.0	0.0	late_up
IGFBP3	0.5919889693315098	0.0	0.0	late_up
HSPA1A	-0.5915115641620786	0.0	0.0	late_down
BICC1	0.5911081818729704	0.0	0.0	late_up
DKK3	0.5901108697438695	0.0	0.0	late_up
GALNT5	0.5891914249445646	0.0	0.0	late_up
MAP2K2	0.5886210351245309	0.0	0.0	late_up
SYNC	0.5873791527253617	0.0	0.0	late_up
PEPD	0.5868169459472061	0.0	0.0	late_up
EGFR	0.5863433268055409	0.0	0.0	late_up
PSD3	0.5861825527615061	0.0	0.0	late_up
VAMP5	0.5852498061042717	0.0	0.0	late_up
ABCC3	0.5845005235965599	0.0	0.0	late_up
CHCHD3	0.5837090954268667	0.0	0.0	late_up
ATP2B4	0.5836080321484508	0.0	0.0	late_up
FOXP2	0.5834508433786433	0.0	0.0	late_up
RNF213	0.5831814217996362	0.0	0.0	late_up
SYNJ2	0.5831407296186037	0.0	0.0	late_up
MT1E	-0.5830913780071216	0.0	0.0	late_down
FAM114A1	0.5830091891603448	0.0	0.0	late_up
DANT2	0.5829408100749761	0.0	0.0	late_up
RBFOX2	0.5823107887868574	0.0	0.0	late_up
CTHRC1	0.5819437651792297	0.0	0.0	late_up
TAX1BP3	0.5819254851456416	0.0	0.0	late_up
AKR1B1	0.5817730200398546	0.0	0.0	late_up
NDUFA13	0.5813120389896181	0.0	0.0	late_up
ARPC1A	0.5812990006758678	0.0	0.0	late_up
FHL2	0.5812156572724099	0.0	0.0	late_up
RPS27	-0.5805568341556904	0.0	0.0	late_down
COL5A2	0.5798239176794948	0.0	0.0	late_up
EFNA5	0.5793812628537928	0.0	0.0	late_up
ME1	0.5791271474003375	0.0	0.0	late_up
PEAK1	0.578883348508612	0.0	0.0	late_up
ROCK2	0.5785097909759084	0.0	0.0	late_up
NEXN	0.5773020191282451	0.0	0.0	late_up
EXOC6B	0.5772021877023076	0.0	0.0	late_up
FIBP	0.5771149501648869	0.0	0.0	late_up
ITGA11	0.577085997373133	0.0	0.0	late_up
TTC28	0.5769530194214136	0.0	0.0	late_up
CCND1	0.5767809242997218	0.0	0.0	late_up
PRKCA	0.5761366223348042	0.0	0.0	late_up
AP1S1	0.5759817829707139	0.0	0.0	late_up
NLGN1	0.5753600158481069	0.0	0.0	late_up
ETHE1	0.5751306567301133	0.0	0.0	late_up
CYP51A1	0.5750015227905096	0.0	0.0	late_up
TMX3	0.5747803572158181	0.0	0.0	late_up
SPIDR	0.5746358604609556	0.0	0.0	late_up
RPS10	-0.5746244788144466	0.0	0.0	late_down
TTC37	0.5746163661933084	0.0	0.0	late_up
PGLS	0.5744577643207636	0.0	0.0	late_up
GLIS1	0.5742413081485955	0.0	0.0	late_up
RPL41	-0.5742283029567065	0.0	0.0	late_down
MBD5	0.5737585209988183	0.0	0.0	late_up
HADHB	0.5736350097035119	0.0	0.0	late_up
LAMC1	0.5728211419491418	0.0	0.0	late_up
DAB2	0.5725921437495137	0.0	0.0	late_up
VPS13B	0.5718393727596106	0.0	0.0	late_up
RPL24	-0.5712432644111617	0.0	0.0	late_down
RAB10	0.5709806227413932	0.0	0.0	late_up
PLPP3	0.5709274247378917	0.0	0.0	late_up
ANK2	0.5708889407971742	0.0	0.0	late_up
PSMD2	0.5708446027116717	0.0	0.0	late_up
WNT5B	0.5705530709553451	0.0	0.0	late_up
ATP8B1	0.5704616051768867	0.0	0.0	late_up
EPHX1	0.5702100279847353	0.0	0.0	late_up
CLTC	0.569933023165358	0.0	0.0	late_up
ARHGAP24	0.5693300000024958	0.0	0.0	late_up
SND1	0.5690540513104652	0.0	0.0	late_up
STAT1	0.5689759206840745	0.0	0.0	late_up
ALCAM	0.5689348774712406	0.0	0.0	late_up
RPS4Y1	-0.5685252925838474	0.0	0.0	late_down
TALDO1	0.5683292910051408	0.0	0.0	late_up
PKN1	0.5682215355286594	0.0	0.0	late_up
RASAL2	0.5663852548182676	0.0	0.0	late_up
RPL9	-0.5663602686282306	0.0	0.0	late_down
ACAN	-0.5660213327671788	0.0	0.0	late_down
MICU1	0.5658278662989871	0.0	0.0	late_up
PRKDC	0.5657731224356434	0.0	0.0	late_up
MGLL	0.5653948555793765	0.0	0.0	late_up
APRT	0.565364300146969	0.0	0.0	late_up
HEBP2	0.5647576844520653	0.0	0.0	late_up
RTN4	0.5646711429933744	0.0	0.0	late_up
VCL	0.5644319385865328	0.0	0.0	late_up
FLRT2	0.5642149820554212	0.0	0.0	late_up
XIST	0.563887443263301	0.0	0.0	late_up
MARCKS	0.5637913331074664	0.0	0.0	late_up
VPS41	0.5633863823000714	0.0	0.0	late_up
REV3L	0.5627840244716623	0.0	0.0	late_up
AKR7A2	0.5627417119430712	0.0	0.0	late_up
CD68	0.5617604036062471	0.0	0.0	late_up
FKBP1A	0.5611780801459955	0.0	0.0	late_up
UBE2E2	0.5607073788941225	0.0	0.0	late_up
BLVRB	0.5605110620025958	0.0	0.0	late_up
HEG1	0.5602009078583307	0.0	0.0	late_up
MMP24OS	0.5593165458206415	0.0	0.0	late_up
MYO1B	0.5591167226611949	0.0	0.0	late_up
TRAM2	0.5586959737281544	0.0	0.0	late_up
DLC1	0.5586726253489658	0.0	0.0	late_up
SSH1	0.5582200873577474	0.0	0.0	late_up
CNMD	-0.557898753091513	0.0	0.0	late_down
MSANTD3	0.557767752423661	0.0	0.0	late_up
NXN	0.5572638198170358	0.0	0.0	late_up
MAP4K4	0.5572272944396335	0.0	0.0	late_up
ARPC5	0.5568616158929335	0.0	0.0	late_up
FEZ1	0.5560432752672487	0.0	0.0	late_up
TGFBI	0.5559670007407862	0.0	0.0	late_up
ADAM9	0.5558680691742846	0.0	0.0	late_up
ZEB1	0.5557093414645149	0.0	0.0	late_up
DECR1	0.5553259364079678	0.0	0.0	late_up
TMEM165	0.5541290191061	0.0	0.0	late_up
CDCA2	0.5539519897802142	0.0	0.0	late_up
NAALADL2	0.5538656132690687	0.0	0.0	late_up
ARL4C	0.5537005457074001	0.0	0.0	late_up
EIF4G3	0.5536907517346907	0.0	0.0	late_up
AXL	0.5536681926213837	0.0	0.0	late_up
PRUNE2	0.5532353883822958	0.0	0.0	late_up
RALA	0.5531052442510618	0.0	0.0	late_up
DYNC1H1	0.5530012902047405	0.0	0.0	late_up
EEA1	0.5529509324524559	0.0	0.0	late_up
PDXK	0.55289218149491	0.0	0.0	late_up
FAT1	0.5528461868543836	0.0	0.0	late_up
COPB2	0.5518804317002093	0.0	0.0	late_up
CLGN	0.5517287400732732	0.0	0.0	late_up
BIRC6	0.5517139700307933	0.0	0.0	late_up
MYO1E	0.551648069585662	0.0	0.0	late_up
CLTA	0.5515452553300069	0.0	0.0	late_up
RFTN1	0.5512993273436024	0.0	0.0	late_up
DIP2C	0.5511775569571739	0.0	0.0	late_up
ARPC2	0.5510450962954943	0.0	0.0	late_up
WWOX	0.5507915832822108	0.0	0.0	late_up
CTNNA1	0.550767232181214	0.0	0.0	late_up
UTRN	0.5501577683331089	0.0	0.0	late_up
COMMD7	0.5499004138611487	0.0	0.0	late_up
ECI2	0.5495259705014256	0.0	0.0	late_up
TUBB	0.5490159793933884	0.0	0.0	late_up
HEXB	0.5489925975283924	0.0	0.0	late_up
HECTD1	0.5489720209454069	0.0	0.0	late_up
SPTBN1	0.5488704861957319	0.0	0.0	late_up
PLCB1	0.5482704602249825	0.0	0.0	late_up
MAML2	0.5481824527092888	0.0	0.0	late_up
NAGLU	0.547859765115976	0.0	0.0	late_up
PARVA	0.5477743432918329	0.0	0.0	late_up
COL9A3	-0.5471707318511767	0.0	0.0	late_down
CLEC3A	-0.5466861713203602	0.0	0.0	late_down
ALDH3A2	0.5465463051889801	0.0	0.0	late_up
SUCLG2	0.5461973205979856	0.0	0.0	late_up
BCAS3	0.5458559999499075	0.0	0.0	late_up
ACTG1	0.5453937982224192	0.0	0.0	late_up
ADAMTSL1	0.5453289079131356	0.0	0.0	late_up
GSK3B	0.5450150870490367	0.0	0.0	late_up
PLCD3	0.5449658011505399	0.0	0.0	late_up
HSP90AB1	-0.5444365527552945	0.0	0.0	late_down
PYCARD	0.5443624081466399	0.0	0.0	late_up
APEX1	0.5443218200001848	0.0	0.0	late_up
MYO1C	0.5441012600537098	0.0	0.0	late_up
SLC38A6	0.544046782935218	0.0	0.0	late_up
CUX1	0.5433242372316921	0.0	0.0	late_up
RAD51B	0.543255876361026	0.0	0.0	late_up
TMOD3	0.5431395672981869	0.0	0.0	late_up
TRIOBP	0.542644619895239	0.0	0.0	late_up
PAM	0.542641520291049	0.0	0.0	late_up
CERCAM	0.5425451502775511	0.0	0.0	late_up
CTTN	0.5423790616630835	0.0	0.0	late_up
DOCK1	0.5422392385278617	0.0	0.0	late_up
ANKRD17	0.5421665261624424	0.0	0.0	late_up
MRPS34	0.5417992339512645	0.0	0.0	late_up
TEAD1	0.5417260610660787	0.0	0.0	late_up
JAZF1	0.541615511070622	0.0	0.0	late_up
STUB1	0.5415372844605568	0.0	0.0	late_up
RPS6KA2	0.5413507986725294	0.0	0.0	late_up
NEGR1	0.5408667075226392	0.0	0.0	late_up
PTPRM	0.5402585369470434	0.0	0.0	late_up
ARHGAP22	0.540011923614765	0.0	0.0	late_up
PHLDA3	0.5398107363630232	0.0	0.0	late_up
PTPRG	0.5395385176873387	0.0	0.0	late_up
MSRB3	0.5393474575282305	0.0	0.0	late_up
RPL30	-0.53851626568039	0.0	0.0	late_down
NFASC	0.5376760885923709	0.0	0.0	late_up
POLD4	0.5375627223276751	0.0	0.0	late_up
ATXN1	0.5374905423268974	0.0	0.0	late_up
ANO10	0.5373385985619473	0.0	0.0	late_up
FAM155A	0.5373319143257325	0.0	0.0	late_up
NRP1	0.5370067663405337	0.0	0.0	late_up
YWHAB	0.5369573282938802	0.0	0.0	late_up
PALLD	0.5366974319230072	0.0	0.0	late_up
ATP5F1A	0.5366484042617023	0.0	0.0	late_up
FMOD	-0.5364218822172332	0.0	0.0	late_down
IGF1R	0.5358959362780399	0.0	0.0	late_up
PLIN2	0.5357908515178393	0.0	0.0	late_up
CXXC5	0.5351385101292392	0.0	0.0	late_up
EPRS	0.5347517460614066	0.0	0.0	late_up
SEMA3C	0.5345492923728021	0.0	0.0	late_up
RBP4	-0.5343657375861046	0.0	0.0	late_down
FST	0.534187574945067	0.0	0.0	late_up
LDHB	0.5330241661523046	0.0	0.0	late_up
