source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition
Macrophage	NP_mature_chondrocyte	ADAM17	ITGA5	0.3069471	0.01	0.07810988	0.06895773305820196	0.006015444346751164	0.0049533327	0.5065721	1.0	1.0	healthy
Macrophage	NP_mature_chondrocyte	ADAM17	IL6R	0.32276136	0.0	0.09183219	0.20086578688036694	0.23234963751125748	0.0089175375	0.5267776	0.654124897146341	1.0	healthy
Macrophage	NP_mature_chondrocyte	ADAM10	IL6R	0.4720186	0.0	0.15501685	0.48241543301950024	0.49173302478765896	0.012879215	0.59121704	0.1863859717074643	1.0	healthy
Pericyte_SMC	B_cell	ADAM10	TSPAN5	0.42880416	0.0	0.17257771	0.18120451129680906	0.34495802026243044	0.007789165	0.6041185	0.9151194218657572	1.0	healthy
Pericyte_SMC	B_cell	ADAM10	TSPAN17	0.3573069	0.0	0.12645842	0.6513373429666824	0.5788804442113947	0.0245481	0.56640255	0.042329237591318555	1.0	healthy
Pericyte_SMC	B_cell	ADAM10	TSPAN14	0.32956138	0.0	0.10856119	0.44649874274310897	0.49703390270693126	0.009190325	0.5475778	0.400916738386611	1.0	healthy
Pericyte_SMC	AF_outer	VEGFA	ITGAV	0.7389996	0.0	0.5374138	0.33478731968200864	0.312508997262006	0.02261326	0.72920954	0.05324642830389099	1.0	healthy
Macrophage	NP_fibrocartilaginous	VEGFA	NRP2	0.3299608	1.0	0.10464629	-0.2084860973699445	-0.4913035831247024	0.0041401177	0.54302454	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	VEGFA	ITGAV	0.32310635	1.0	0.101014264	-0.17666610250509446	-0.3669155055899726	0.004250471	0.53863853	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	VEGFA	GPC1	0.374785	1.0	0.12839766	-0.10176830657412489	-0.25019243757940585	0.007976808	0.5682704	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	VEGFA	EGFR	0.27853292	1.0	0.077395804	-0.02135284224399145	-0.12636473899598116	0.006848362	0.50542426	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	VCAN	EGFR	0.34452415	1.0	0.11595141	-0.14822588910426562	-0.39819963693766447	0.007191002	0.55572194	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	TXLNA	STX4	0.34076217	0.0	0.11425243	0.14181566748983018	0.18876934648776195	0.0107806325	0.553899	0.35835208812186775	1.0	healthy
Macrophage	NP_fibrocartilaginous	TNFSF10	RIPK1	0.64838046	0.0	0.1425567	1.1180874482298035	0.9653876738218637	0.026511723	0.58105403	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	TLN1	ITGB5	0.7615512	0.0	0.5569436	0.16381616533089705	0.1885898193669543	0.012482519	0.7327194	0.2264343340960751	1.0	healthy
Macrophage	NP_fibrocartilaginous	TGM2	ADGRG1	0.41647142	0.0	0.09629894	0.42637477328912676	0.5451098709344292	0.024518607	0.53269345	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	TGFB1	VASN	0.36710048	1.0	0.12710077	-0.12395473723385601	-0.36230039372006867	0.0057367506	0.56702465	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	TGFB1	TGFBR3	0.3891024	0.99	0.14710638	-0.06104325517993338	-0.20311161131698136	0.0054131364	0.58487284	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	TGFB1	ENG	0.4328845	0.0	0.18691601	0.12951923999907916	0.12518613695406944	0.0062290183	0.61362165	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	TGFB1	EGFR	0.37338015	0.0	0.13281065	0.15623950595878547	0.15623839448492094	0.011305725	0.5724108	0.3050045668238198	1.0	healthy
Macrophage	NP_fibrocartilaginous	TGFB1	ACVR1_TGFBR2	0.33088386	0.49	0.094170175	0.0027374241395714087	-0.05256426908297229	0.008132044	0.52991015	1.0	1.0	healthy
Pericyte_SMC	B_cell	ANGPTL4	SDC1	0.43074617	0.0	0.14656262	0.5081476571106144	0.5603534923201539	0.070559286	0.58442324	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	TFPI	SDC4	0.77687883	0.0	0.5535087	0.462192815952409	0.4348236323645873	0.021651747	0.7321132	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	ST6GAL1	EGFR	0.33038026	0.0	0.10768781	0.32164880772755033	0.439908277920743	0.020770907	0.54657704	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	SERTAD1	AR	0.3517614	1.0	0.08312686	-0.04873461712377633	-0.17438605694744908	0.010212259	0.51435	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	SERPINE1	PLAUR	0.39802343	1.0	0.14524454	-0.16276694434429811	-0.45898477197246446	0.004590583	0.58332574	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	SERPINE1	ITGB5	0.44653314	1.0	0.17272311	-0.12277320940544248	-0.3746199224118756	0.007276096	0.60421926	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	S100A4	ERBB2	0.5401828	1.0	0.13268967	-0.45264340512220347	-0.6177746077142601	0.0077993786	0.57229924	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	PLAU	PLAUR	0.38467225	0.0	0.13155107	0.10552299793671197	0.12884041240970212	0.008019308	0.57124424	0.853333354016109	1.0	healthy
Macrophage	NP_fibrocartilaginous	PLAU	ITGB5	0.43318197	0.0	0.15643899	0.1455167328755676	0.213205261970291	0.01271064	0.5923201	0.2720971912906292	1.0	healthy
Macrophage	NP_fibrocartilaginous	PLAU	ITGA5	0.36105144	0.0	0.11943239	0.19433377305982638	0.3053632105033522	0.010124878	0.5593703	0.44181434427947547	1.0	healthy
Macrophage	NP_fibrocartilaginous	PLAU	IGF2R	0.34868258	0.0	0.113086544	0.11730553989865972	0.16555158746964482	0.008151443	0.55263144	0.8195837446943288	1.0	healthy
Macrophage	NP_fibrocartilaginous	PGF	NRP2	0.44216487	0.0	0.1932836	0.5599453137625805	0.38237274687018674	0.02503384	0.6175852	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	PDGFA	PDGFRB	0.3162589	0.0	0.08598073	0.36309614127428563	0.4029086319018041	0.013886629	0.51856476	0.1345827658527917	1.0	healthy
Macrophage	NP_fibrocartilaginous	PDAP1	PDGFRB	0.44101527	0.23	0.13532755	0.02064743581185769	0.02978070460492671	0.0068465075	0.5747067	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	PAM	DPP4	0.3653863	0.92	0.1295695	0.13563222457226706	0.05729525005238034	0.019481534	0.5693845	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	NID1	ITGAV	0.43685675	0.0	0.18775433	0.5692947103165209	0.4411330222147543	0.02552315	0.614152	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	MIA	ITGA5_ITGB1	0.36922428	1.0	0.12704259	-0.30938126354011986	-0.8127916946607927	0.0033822535	0.56696844	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	MIA	ITGA5	0.36922428	1.0	0.12704259	-0.30938126354011986	-0.8127916946607927	0.0033822535	0.56696844	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	MFGE8	ITGAV	0.37301993	1.0	0.13907576	-0.47137315652022554	-0.8153775122282076	0.0031771115	0.5780421	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	MDK	SDC1	0.32871324	0.0	0.0791471	0.4184874127509214	0.46716009609156994	0.0381694	0.50822073	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	MDK	NOTCH2	0.42775476	0.0	0.17793684	0.26227052001495943	0.3077718414732349	0.018985555	0.6077695	0.0752795683327215	1.0	healthy
Macrophage	NP_fibrocartilaginous	MAML2	NOTCH2	0.39864832	0.0	0.1571676	0.07969366649532793	0.06649864637948771	0.010862898	0.592881	0.49605602631235984	1.0	healthy
Macrophage	NP_fibrocartilaginous	LRPAP1	LDLR	0.41566193	1.0	0.16069482	-0.31517168319901967	-0.6143582384069954	0.0038697205	0.59555674	1.0	1.0	healthy
