source_healthy	target_healthy	ligand_complex_healthy	receptor_complex_healthy	lr_means_healthy	cellphone_pvals_healthy	expr_prod_healthy	scaled_weight_healthy	lr_logfc_healthy	spec_weight_healthy	lrscore_healthy	specificity_rank_healthy	magnitude_rank_healthy	condition_healthy	is_pain_relevant_healthy	pain_categories_healthy	interaction_key	source_degen	target_degen	ligand_complex_degen	receptor_complex_degen	lr_means_degen	cellphone_pvals_degen	expr_prod_degen	scaled_weight_degen	lr_logfc_degen	spec_weight_degen	lrscore_degen	specificity_rank_degen	magnitude_rank_degen	condition_degen	is_pain_relevant_degen	pain_categories_degen	rank_diff
Pericyte_SMC	NP_fibrocartilaginous	VIM	CD44	2.1263618	0.0	4.065092	0.23973110073002307	0.28308895117996147	0.00899645	0.88086885	0.27134663129267067	0.0004369097268695169	healthy	False		Pericyte_SMC|NP_fibrocartilaginous|VIM|CD44																	-0.9995630902731305
Fibrochondrocyte_fibroid	Pericyte_SMC	TIMP1	CD63	2.0575495	0.93	4.2134824	-0.3261830990895096	-0.5322865648112454	0.0060158772	0.8827373	1.0	0.00045620725258304327	healthy	False		Fibrochondrocyte_fibroid|Pericyte_SMC|TIMP1|CD63																	-0.999543792747417
Pericyte_SMC	AF_outer	TIMP3	CD44	2.0771475	0.0	4.0108614	1.1715288292495754	1.1461381390619747	0.028089827	0.88016236	0.013543634859531613	0.0005028482858233854	healthy	False		Pericyte_SMC|AF_outer|TIMP3|CD44																	-0.9994971517141766
Pericyte_SMC	Pericyte_SMC	MFGE8	PDGFRB	2.0858521	0.0	3.9959748	2.3990429315972754	1.7580068675948803	0.0722914	0.8799662	4.150907553973948e-05	0.0005096955861381828	healthy	False		Pericyte_SMC|Pericyte_SMC|MFGE8|PDGFRB																	-0.9994903044138618
NP_stressed	Pericyte_SMC	CD99	CD81	2.0336664	0.2	4.122477	0.20781752960746164	0.08154352697082712	0.009865514	0.8816024	0.7022378751442137	0.0005200529761427175	healthy	False		NP_stressed|Pericyte_SMC|CD99|CD81																	-0.9994799470238572
Pericyte_SMC	AF_outer	VEGFA	ITGB1	2.0152478	0.0	4.058639	1.151112323701435	1.1375400618126061	0.026461786	0.88078547	0.013543634859531613	0.0005843731576956805	healthy	True	pain_ligand:VEGFA	Pericyte_SMC|AF_outer|VEGFA|ITGB1																	-0.9994156268423043
NP_mature_chondrocyte	Pericyte_SMC	MFGE8	PDGFRB	2.0617414	0.0	3.8666687	2.376270372940383	1.6108990282756301	0.069952115	0.878218	5.5440666395198596e-05	0.0005991727672334103	healthy	False		NP_mature_chondrocyte|Pericyte_SMC|MFGE8|PDGFRB																	-0.9994008272327666
Pericyte_SMC	NP_fibrocartilaginous	VEGFA	ITGB1	2.0058582	0.0	4.0217485	1.142437112658273	1.2626543574494562	0.026221268	0.8803053	0.013543634859531613	0.0006255151008777714	healthy	True	pain_ligand:VEGFA	Pericyte_SMC|NP_fibrocartilaginous|VEGFA|ITGB1																	-0.9993744848991223
Pericyte_SMC	NP_fibrocartilaginous	TIMP3	CD44	2.0395322	0.0	3.8131392	1.134367458506822	1.2777781366060954	0.026705094	0.87747055	0.013543634859531613	0.0006408207142126807	healthy	False		Pericyte_SMC|NP_fibrocartilaginous|TIMP3|CD44																	-0.9993591792857873
AF_outer	Pericyte_SMC	MFGE8	PDGFRB	2.0487342	0.0	3.7969105	2.36398571826924	1.482946475518597	0.06869011	0.8772411	6.29857686038928e-05	0.0006602114478512635	healthy	False		AF_outer|Pericyte_SMC|MFGE8|PDGFRB																	-0.9993397885521488
