names	scores	logfoldchanges	pvals	pvals_adj	cluster
LTBP1	35.89283	2.4139428	3.952401649592369e-282	1.927092234299999e-278	3
MXRA8	33.214695	1.6759953	6.60552680483667e-242	2.576551785494592e-238	3
PTTG1IP	32.717297	1.3293376	8.86497437522352e-235	2.8815599206664055e-231	3
LUM	32.472347	1.0511433	2.6206442188927264e-231	7.301489171580692e-228	3
HAPLN1	31.138998	1.3631858	7.147550849314596e-213	1.742483552677282e-209	3
AHNAK	30.533245	1.3706461	9.438101338667757e-205	2.045236560089303e-201	3
COL1A2	30.243761	1.6637298	6.3020459165540544e-201	1.2290880151055373e-197	3
MALAT1	29.449518	1.0391595	1.277002899923702e-190	2.0754489631009966e-187	3
FN1	28.165592	1.1089029	1.5440181084485242e-174	2.3163834745439668e-171	3
COL8A1	28.038445	2.037892	5.5255424966524534e-173	7.697475379443772e-170	3
CHI3L2	27.830246	2.1663916	1.8682075282333855e-170	2.429043428209048e-167	3
DSTN	27.730824	0.87421733	2.968250898030662e-169	3.61811232901825e-166	3
RGS16	27.529764	1.7730728	7.732155490701522e-167	8.87060167853834e-164	3
COL12A1	26.943222	2.1657555	6.8490838623759e-160	7.420982364884287e-157	3
EDIL3	26.462381	1.140312	2.62836628594105e-154	2.6979488249846473e-151	3
AOC2	26.354082	2.344692	4.6081447705983494e-153	4.4936323730489806e-150	3
ITM2B	26.02797	0.7450095	2.3896881814590382e-149	2.219337552523601e-146	3
NBL1	25.965744	1.756602	1.2075563252089283e-148	1.0704986822977149e-145	3
FAP	25.06545	1.3504754	1.1846749699242028e-138	9.626964974346553e-136	3
COL11A1	25.010464	1.1184411	4.7039621464847035e-138	3.669654949715647e-135	3
COL3A1	24.845575	1.4598702	2.8869248201310705e-136	2.08532202840801e-133	3
TCF4	24.343689	1.1871746	6.762025366977837e-131	4.5475786459368537e-128	3
COL6A2	24.315617	1.1304518	1.3402496355902759e-130	8.712962880972384e-128	3
ISLR	23.87318	1.0749615	5.8185773560026616e-126	3.6606359411006424e-123	3
THBS1	23.824278	1.9842607	1.8715412157912448e-125	1.1406458853617702e-122	3
PMP22	23.359016	0.9741905	1.1160349377694294e-120	6.5957664822173285e-118	3
ID3	23.313335	1.2980028	3.247030110835846e-120	1.862553772106809e-117	3
CALD1	23.188383	1.1669564	5.964203837331081e-119	3.323424783984802e-116	3
NFKBIA	23.077723	1.2785459	7.7512468132262055e-118	4.1992379610652965e-115	3
POSTN	22.920837	1.4503329	2.8798068570530937e-116	1.517969544138013e-113	3
TNC	22.71216	1.6165653	3.3972210193176624e-114	1.7435789878882202e-111	3
