names	scores	logfoldchanges	pvals	pvals_adj	cluster
BTG2	48.126534	1.4621894	0.0	0.0	5
YWHAZ	47.955708	0.712754	0.0	0.0	5
RPS18	47.84708	0.4966202	0.0	0.0	5
RPL5	47.347054	0.54466087	0.0	0.0	5
ABI3BP	77.478485	2.931542	0.0	0.0	6
FGFBP2	72.77736	2.7577562	0.0	0.0	6
F13A1	72.72132	2.9197404	0.0	0.0	6
PRELP	72.05799	2.7377636	0.0	0.0	6
CILP	68.61417	3.5575302	0.0	0.0	6
CHAD	64.23269	2.5904233	0.0	0.0	6
SCRG1	63.56259	2.3669016	0.0	0.0	6
PCOLCE2	63.440746	1.6683195	0.0	0.0	6
DCN	58.17769	1.1441914	0.0	0.0	6
VCAN	56.863323	2.1821156	0.0	0.0	6
OGN	55.80666	2.0768085	0.0	0.0	6
PRG4	55.61335	3.4890451	0.0	0.0	6
S100B	53.504864	2.0995843	0.0	0.0	6
DPT	52.41682	2.8419333	0.0	0.0	6
RBP4	52.371307	2.1196826	0.0	0.0	6
CDH19	48.25544	2.0946002	0.0	0.0	6
SERPINA5	47.71307	1.8146075	0.0	0.0	6
C2orf40	44.968544	1.5952864	0.0	0.0	6
NUCB2	43.893265	1.2533771	0.0	0.0	6
CLEC3A	43.78099	2.1055806	0.0	0.0	6
BCAT1	42.63979	1.2321705	0.0	0.0	6
WISP3	42.475307	1.7940687	0.0	0.0	6
CYTL1	41.54363	2.9510114	0.0	0.0	6
SSR4	41.21621	1.1126369	0.0	0.0	6
CAPS	40.518745	1.7437952	0.0	0.0	6
GPX3	40.177902	1.2890536	0.0	0.0	6
LUM	38.74476	0.92522955	0.0	0.0	6
EIF3H	38.468643	1.0506276	0.0	0.0	6
COMP	37.367847	1.1791297	1.3009261298467073e-305	6.82944252810494e-303	6
PDGFRL	36.45291	1.718483	6.186617781035145e-291	3.146281805267686e-288	6
FHL1	36.44998	1.3833252	6.884409580107197e-291	3.395057015353471e-288	6
OMD	36.218445	1.653492	3.120441742139837e-287	1.4935902621054032e-284	6
AC245297.1	35.947475	1.2588754	5.542314408286625e-283	2.577017848013044e-280	6
PRDX4	35.629166	1.1241971	4.9536444445906835e-278	2.239322491424133e-275	6
