source,target,ligand_complex,receptor_complex,score_h,score_s,delta_score,interaction,pair
AF_fibroblast,AF_fibroblast,BSG,SLC16A7,0.13778425732702157,0.1139098262660036,-0.02387443106101797,BSG → SLC16A7,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,C3,CD46,0.1533168013037074,0.15850588770480029,0.0051890864010928905,C3 → CD46,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,C3,CD81,0.74385410666605,0.455720096786838,-0.288134009879212,C3 → CD81,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,C3,IFITM1,-0.0,-0.0,0.0,C3 → IFITM1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,C3,LRP1,0.27968393485155385,0.2256960558074496,-0.05398787904410424,C3 → LRP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,C3,NRP1,-0.0,-0.0,0.0,C3 → NRP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM1,AQP1,0.0,1.64441795340771,1.64441795340771,CALM1 → AQP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM1,FAS,0.0,0.28739517758289695,0.28739517758289695,CALM1 → FAS,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM1,INSR,0.4096057676220142,0.1371781623063771,-0.27242760531563714,CALM1 → INSR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM1,KCNN4,0.0,0.3250741427640472,0.3250741427640472,CALM1 → KCNN4,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM1,PTPRA,0.9362088826198376,0.9091931158647024,-0.027015766755135173,CALM1 → PTPRA,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM3,AQP1,0.0,0.2010118179218949,0.2010118179218949,CALM3 → AQP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM3,AR,-0.0,0.21237600192118977,0.21237600192118977,CALM3 → AR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM3,EGFR,-0.0,0.16283668391389905,0.16283668391389905,CALM3 → EGFR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM3,ESR1,0.0,0.22658883962188547,0.22658883962188547,CALM3 → ESR1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALM3,INSR,-0.0,0.054283448706746666,0.054283448706746666,CALM3 → INSR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALR,ITGAV,0.5935773864803038,0.5429271825826995,-0.05065020389760433,CALR → ITGAV,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CALR,LRP1,1.6667699694055063,1.588073510709173,-0.07869645869633324,CALR → LRP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN1,CAV1,0.2035079491181967,1.4821890725725033,1.2786811234543065,CCN1 → CAV1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN1,ITGA5,-0.0,0.34581948695357895,0.34581948695357895,CCN1 → ITGA5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN1,ITGAV,-0.0,0.7494183587227206,0.7494183587227206,CCN1 → ITGAV,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN1,ITGB5,0.152176094916013,0.8202980353461091,0.6681219404300961,CCN1 → ITGB5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN1,SDC4,0.1618596958343382,0.3320103232827617,0.1701506274484235,CCN1 → SDC4,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN2,EGFR,-0.0,0.2978179967335551,0.2978179967335551,CCN2 → EGFR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN2,IGF2R,-0.0,0.42176313655435527,0.42176313655435527,CCN2 → IGF2R,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN2,ITGA5,-0.0,0.5402257018173374,0.5402257018173374,CCN2 → ITGA5,AF_fibroblast → AF_fibroblast
