Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes	cell_type	comparison	direction	library	Overlap
GO_Biological_Process_2023	Cell-Cell Junction Organization (GO:0045216)	0.045874414114173895	0.07616329009981436	0.0	0.0	23.333333333333332	71.90978069431601	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Membrane Lipid Biosynthetic Process (GO:0046467)	0.04673714901769507	0.07657256096944813	0.0	0.0	22.883136094674555	70.09598743365179	SPTSSB	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of Bone Mineralization (GO:0030500)	0.04673714901769507	0.07657256096944813	0.0	0.0	22.883136094674555	70.09598743365179	GREM1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	0.04731101171119619	0.07657256096944813	0.0	0.0	6.466239316239316	19.728575073299687	GREM1;F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	DNA-templated Transcription Initiation (GO:0006352)	0.04759915952154884	0.07657256096944813	0.0	0.0	22.449927431059507	68.3586859609139	ZFP36L2	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Cell-Cell Junction Assembly (GO:0007043)	0.04759915952154884	0.07657256096944813	0.0	0.0	22.449927431059507	68.3586859609139	CLDN11	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056)	0.04932100957152216	0.07822101719068573	0.0	0.0	21.630769230769232	65.09574791218702	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Positive Regulation Of Interleukin-6 Production (GO:0032755)	0.05018085023751701	0.07822101719068573	0.0	0.0	21.24313186813187	63.56203784468502	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Negative Regulation Of Neuron Apoptotic Process (GO:0043524)	0.05018085023751701	0.07822101719068573	0.0	0.0	21.24313186813187	63.56203784468502	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of BMP Signaling Pathway (GO:0030510)	0.05018085023751701	0.07822101719068573	0.0	0.0	21.24313186813187	63.56203784468502	GREM1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919)	0.05018085023751701	0.07822101719068573	0.0	0.0	21.24313186813187	63.56203784468502	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Monoatomic Cation Homeostasis (GO:0055080)	0.051039968746045904	0.07822101719068573	0.0	0.0	20.869095816464238	62.088612206995904	SLC40A1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	0.051039968746045904	0.07822101719068573	0.0	0.0	20.869095816464238	62.088612206995904	MRAP2	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)	0.051039968746045904	0.07822101719068573	0.0	0.0	20.869095816464238	62.088612206995904	GREM1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
